Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
André Onana,cm CMR,28-341,90,6,1.0,5.0,83.3,1.8,4,29,13.8,34,4,55.9,39.9,23,1.0,4.3,0.0,6.8,True,ManchesterUtd_Arsenal_20250309
David Raya,es ESP,29-175,90,6,1.0,5.0,83.3,1.5,0,7,0.0,32,7,18.8,26.3,10,1.0,10.0,1.0,15.0,False,ManchesterUtd_Arsenal_20250309
Alphonse Areola,fr FRA,32-011,90,3,1.0,2.0,66.7,2.0,10,22,45.5,31,6,51.6,38.7,12,1.0,8.3,1.0,14.5,True,WestHam_NewcastleUtd_20250310
Nick Pope,eng ENG,32-325,90,2,0.0,2.0,100.0,0.1,3,13,23.1,21,7,33.3,35.0,16,1.0,6.3,2.0,15.0,False,WestHam_NewcastleUtd_20250310
Jordan Pickford,eng ENG,31-008,90,5,1.0,4.0,80.0,1.7,5,14,35.7,40,6,30.0,30.7,11,0.0,0.0,2.0,16.8,True,Everton_WestHam_20250315
Alphonse Areola,fr FRA,32-016,90,5,1.0,4.0,80.0,1.4,4,15,26.7,25,7,44.0,35.3,22,1.0,4.5,0.0,8.4,False,Everton_WestHam_20250315
Aaron Ramsdale,eng ENG,26-305,90,3,2.0,1.0,33.3,0.9,2,13,15.4,26,3,38.5,33.3,5,0.0,0.0,1.0,20.5,True,Southampton_Wolves_20250315
José Sá,pt POR,32-057,90,3,1.0,2.0,66.7,1.8,5,13,38.5,19,3,63.2,45.5,16,2.0,12.5,1.0,12.0,False,Southampton_Wolves_20250315
Alex Palmer,eng ENG,28-217,90,6,4.0,2.0,33.3,2.7,0,6,0.0,26,8,23.1,28.1,10,1.0,10.0,3.0,16.4,True,IpswichTown_Nott'hamForest_20250315
Matz Sels,be BEL,33-017,90,3,2.0,1.0,33.3,0.5,7,22,31.8,19,2,78.9,50.2,15,0.0,0.0,0.0,2.0,False,IpswichTown_Nott'hamForest_20250315
Stefan Ortega,de GER,32-129,90,3,2.0,2.0,33.3,0.7,8,17,47.1,42,6,38.1,32.4,10,1.0,10.0,3.0,18.2,True,ManchesterCity_Brighton_20250315
Bart Verbruggen,nl NED,22-209,90,3,2.0,1.0,66.7,1.3,6,19,31.6,36,1,44.4,36.5,7,0.0,0.0,0.0,2.0,False,ManchesterCity_Brighton_20250315
Kepa Arrizabalaga,es ESP,30-163,90,4,2.0,2.0,50.0,2.2,2,14,14.3,28,3,50.0,40.0,7,0.0,0.0,2.0,29.7,True,Bournemouth_Brentford_20250315
Mark Flekken,nl NED,31-275,90,5,1.0,5.0,80.0,1.0,10,28,35.7,36,2,63.9,45.5,21,1.0,4.8,1.0,11.7,False,Bournemouth_Brentford_20250315
David Raya,es ESP,29-182,90,2,0.0,2.0,100.0,0.2,3,15,20.0,36,5,36.1,33.2,7,2.0,28.6,6.0,20.6,True,Arsenal_Chelsea_20250316
Robert Sánchez,es ESP,27-118,90,4,1.0,3.0,75.0,0.7,7,18,38.9,34,4,47.1,40.1,11,0.0,0.0,1.0,10.8,False,Arsenal_Chelsea_20250316
Bernd Leno,de GER,33-012,90,4,0.0,4.0,100.0,0.4,6,16,37.5,34,5,41.2,37.4,16,1.0,6.3,0.0,14.5,True,Fulham_Tottenham_20250316
Guglielmo Vicario,it ITA,28-160,90,4,2.0,2.0,50.0,1.8,3,4,75.0,22,4,13.6,24.5,21,0.0,0.0,1.0,9.8,False,Fulham_Tottenham_20250316
Mads Hermansen,dk DEN,24-248,90,5,3.0,2.0,40.0,1.7,5,14,35.7,36,5,33.3,30.1,11,1.0,9.1,1.0,14.0,True,LeicesterCity_ManchesterUtd_20250316
André Onana,cm CMR,28-348,90,3,0.0,3.0,100.0,0.4,6,18,33.3,43,3,32.6,31.6,22,1.0,4.5,2.0,15.2,False,LeicesterCity_ManchesterUtd_20250316
David Raya,es ESP,29-198,90,3,1.0,2.0,66.7,1.0,5,13,38.5,39,6,23.1,26.3,12,0.0,0.0,2.0,22.8,True,Arsenal_Fulham_20250401
Bernd Leno,de GER,33-028,90,4,2.0,2.0,50.0,1.8,7,18,38.9,32,3,43.8,36.9,19,1.0,5.3,0.0,10.0,False,Arsenal_Fulham_20250401
José Sá,pt POR,32-074,90,1,0.0,1.0,100.0,0.2,3,14,21.4,23,4,47.8,41.6,12,1.0,8.3,1.0,17.0,True,Wolves_WestHam_20250401
Alphonse Areola,fr FRA,32-033,90,2,1.0,1.0,50.0,0.7,3,9,33.3,34,7,23.5,27.2,5,0.0,0.0,6.0,25.4,False,Wolves_WestHam_20250401
Matz Sels,be BEL,33-034,90,5,0.0,5.0,100.0,0.4,9,32,28.1,21,0,100.0,55.7,31,0.0,0.0,0.0,4.0,True,Nott'hamForest_ManchesterUtd_20250401
André Onana,cm CMR,28-364,90,2,1.0,1.0,50.0,1.0,0,1,0.0,17,2,5.9,23.3,10,0.0,0.0,0.0,,False,Nott'hamForest_ManchesterUtd_20250401
Nick Pope,eng ENG,32-348,90,3,1.0,2.0,100.0,1.3,2,9,22.2,22,7,31.8,36.7,11,3.0,27.3,2.0,14.1,True,NewcastleUtd_Brentford_20250402
Mark Flekken,nl NED,31-293,90,4,2.0,2.0,50.0,1.6,15,35,42.9,42,3,54.8,44.0,9,1.0,11.1,0.0,8.7,False,NewcastleUtd_Brentford_20250402
Ederson,br BRA,31-228,90,0,0.0,0.0,,0.0,1,1,100.0,23,2,4.3,25.2,6,0.0,0.0,5.0,22.3,True,ManchesterCity_LeicesterCity_20250402
Mads Hermansen,dk DEN,24-265,90,5,2.0,3.0,60.0,2.7,9,24,37.5,38,4,47.4,38.8,10,1.0,10.0,0.0,6.0,False,ManchesterCity_LeicesterCity_20250402
Aaron Ramsdale,eng ENG,26-323,90,3,1.0,2.0,66.7,1.0,11,28,39.3,43,5,48.8,34.0,13,2.0,15.4,0.0,7.0,True,Southampton_CrystalPalace_20250402
Dean Henderson,eng ENG,28-021,90,2,1.0,1.0,50.0,1.3,1,4,25.0,23,3,17.4,27.3,11,0.0,0.0,0.0,,False,Southampton_CrystalPalace_20250402
Kepa Arrizabalaga,es ESP,30-181,90,2,2.0,0.0,0.0,0.8,1,7,14.3,33,3,21.2,26.5,7,1.0,14.3,4.0,18.1,True,Bournemouth_IpswichTown_20250402
Alex Palmer,eng ENG,28-235,90,6,1.0,5.0,83.3,0.9,8,19,42.1,28,4,42.9,36.6,35,3.0,8.6,2.0,12.3,False,Bournemouth_IpswichTown_20250402
Bart Verbruggen,nl NED,22-227,90,5,3.0,2.0,40.0,1.9,1,1,100.0,28,4,3.6,23.9,4,0.0,0.0,2.0,18.3,True,Brighton_AstonVilla_20250402
