player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,home,game_id
James Ward-Prowse,8.0,engENG,CM,30-288,70.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,False,Sunderland_WestHam_20250816
Tomáš Souček,28.0,czCZE,"DM,CM",30-170,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False,Sunderland_WestHam_20250816
El Hadji Malick Diouf,12.0,snSEN,"WB,LB",20-231,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,False,Sunderland_WestHam_20250816
Aaron Wan-Bissaka,29.0,cdCOD,"WB,RB",27-263,90.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,False,Sunderland_WestHam_20250816
Nayef Aguerd,5.0,maMAR,CB,29-139,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,False,Sunderland_WestHam_20250816
Max Kilman,3.0,engENG,CB,28-085,90.0,3.0,2.0,2.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,False,Sunderland_WestHam_20250816
Jean-Clair Todibo,25.0,frFRA,CB,25-229,81.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,False,Sunderland_WestHam_20250816
Andy Irving,39.0,sctSCO,AM,25-095,9.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,Sunderland_WestHam_20250816
Mads Hermansen,1.0,dkDEN,GK,25-036,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,Sunderland_WestHam_20250816
Georginio Rutter,10.0,frFRA,FW,23-118,68.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,True,Brighton_Fulham_20250816
Danny Welbeck,18.0,engENG,FW,34-263,22.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Brighton_Fulham_20250816
Kaoru Mitoma,22.0,jpJPN,LW,28-088,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Brighton_Fulham_20250816
Brajan Gruda,8.0,deGER,RW,21-077,8.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,Brighton_Fulham_20250816
Yankuba Minteh,11.0,gmGAM,RW,21-025,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,True,Brighton_Fulham_20250816
Ferdi Kadioglu,24.0,trTUR,"LW,RW",25-313,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,Brighton_Fulham_20250816
Matt O'Riley,33.0,dkDEN,AM,24-268,87.0,3.0,1.0,2.0,1.0,0.0,1.0,3.0,33.3,2.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,True,Brighton_Fulham_20250816
James Milner,20.0,engENG,DM,39-224,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Brighton_Fulham_20250816
Yasin Ayari,26.0,seSWE,DM,21-314,90.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,True,Brighton_Fulham_20250816
Carlos Baleba,17.0,cmCMR,DM,21-225,68.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,True,Brighton_Fulham_20250816
Diego Gómez,25.0,pyPAR,"DM,AM",22-142,22.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,True,Brighton_Fulham_20250816
Maxim De Cuyper,29.0,beBEL,LB,24-237,90.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,True,Brighton_Fulham_20250816
Lewis Dunk,5.0,engENG,CB,33-268,90.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,True,Brighton_Fulham_20250816
Jan Paul van Hecke,6.0,nlNED,CB,25-069,90.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,1.0,0.0,1.0,6.0,0.0,True,Brighton_Fulham_20250816
Mats Wieffer,27.0,nlNED,RB,25-273,90.0,5.0,3.0,2.0,3.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,1.0,6.0,7.0,0.0,True,Brighton_Fulham_20250816
Bart Verbruggen,1.0,nlNED,GK,22-363,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,Brighton_Fulham_20250816
Raúl Jiménez,7.0,mxMEX,FW,34-103,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,Brighton_Fulham_20250816
Rodrigo Muniz,9.0,brBRA,FW,24-104,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,Brighton_Fulham_20250816
Alex Iwobi,17.0,ngNGA,LW,29-105,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Brighton_Fulham_20250816
Adama Traoré,11.0,esESP,"LW,RW",29-203,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Brighton_Fulham_20250816
Harry Wilson,8.0,wlsWAL,"RW,LW",28-147,90.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,Brighton_Fulham_20250816
Joshua King,24.0,engENG,AM,18-225,76.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,False,Brighton_Fulham_20250816
Emile Smith Rowe,32.0,engENG,AM,25-019,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Brighton_Fulham_20250816
Sander Berge,16.0,noNOR,DM,27-183,65.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,False,Brighton_Fulham_20250816
Tom Cairney,10.0,sctSCO,DM,34-208,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Brighton_Fulham_20250816
Saša Lukić,20.0,rsSRB,DM,29-003,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,False,Brighton_Fulham_20250816
Calvin Bassey,3.0,ngNGA,"LB,CB",25-228,90.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,False,Brighton_Fulham_20250816
Jorge Cuenca,15.0,esESP,CB,25-272,83.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,False,Brighton_Fulham_20250816
Timothy Castagne,21.0,beBEL,LB,29-254,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Brighton_Fulham_20250816
Joachim Andersen,5.0,dkDEN,CB,29-077,90.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,0.0,False,Brighton_Fulham_20250816
Kenny Tete,2.0,nlNED,RB,29-311,90.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,False,Brighton_Fulham_20250816
Bernd Leno,1.0,deGER,GK,33-165,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,Brighton_Fulham_20250816
