player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,home,game_id
Đorđe Petrović,1,rsSRB,GK,25-354,90,33,26,33,0,0,0,33,0,0,,0,,23,112,69,0,0,0,0,0,15,0,False,LeedsUnited_Bournemouth_20250927
Chris Wood,11,nzNZL,FW,33-294,89,26,4,4,10,12,8,26,0,0,,0,,6,14,2,0,0,0,2,0,18,4,True,Nott'hamForest_Sunderland_20250927
Arnaud Kalimuendo,15,frFRA,FW,23-250,1,2,0,0,0,2,0,2,0,0,,0,,1,2,0,0,0,0,0,0,1,1,True,Nott'hamForest_Sunderland_20250927
Dan Ndoye,14,chSUI,LW,24-337,59,36,0,2,14,21,4,36,3,2,66.7,0,0.0,19,201,119,4,2,1,3,1,29,8,True,Nott'hamForest_Sunderland_20250927
Igor Jesus,19,brBRA,AM,24-214,31,15,1,2,2,11,2,15,0,0,,0,,3,8,3,0,0,0,0,0,10,3,True,Nott'hamForest_Sunderland_20250927
Dilane Bakwa,29,frFRA,RW,23-032,71,58,2,8,9,41,1,58,6,1,16.7,5,83.3,33,261,116,3,4,0,2,1,42,10,True,Nott'hamForest_Sunderland_20250927
Omari Hutchinson,21,engENG,RW,21-332,19,22,0,1,4,17,2,22,2,1,50.0,1,50.0,13,115,74,3,3,0,1,0,16,3,True,Nott'hamForest_Sunderland_20250927
James Mcatee,24,engENG,AM,22-344,59,32,0,5,14,13,0,32,1,1,100.0,0,0.0,18,119,74,2,2,0,0,0,24,4,True,Nott'hamForest_Sunderland_20250927
Callum Hudson-Odoi,7,engENG,LW,24-324,31,27,0,1,1,25,3,27,2,1,50.0,1,50.0,18,197,136,4,2,2,1,0,21,12,True,Nott'hamForest_Sunderland_20250927
Elliot Anderson,8,engENG,DM,22-325,90,96,2,16,47,33,5,96,0,0,,0,,53,397,156,2,2,0,2,0,73,7,True,Nott'hamForest_Sunderland_20250927
Nicolás Domínguez,16,arARG,DM,27-091,45,43,1,8,32,3,0,43,0,0,,0,,23,140,81,0,1,0,1,0,34,0,True,Nott'hamForest_Sunderland_20250927
Morgan Gibbs-White,10,engENG,DM,25-243,45,47,1,3,23,22,4,47,0,0,,0,,22,124,93,5,4,1,1,0,38,8,True,Nott'hamForest_Sunderland_20250927
Oleksandr Zinchenko,35,uaUKR,LB,28-286,90,79,3,15,41,23,0,79,0,0,,0,,33,140,77,0,2,0,2,0,58,3,True,Nott'hamForest_Sunderland_20250927
Morato,4,brBRA,CB,24-089,90,83,12,43,37,5,1,83,1,1,100.0,0,0.0,41,268,181,1,0,0,1,0,58,0,True,Nott'hamForest_Sunderland_20250927
Nikola Milenković,31,rsSRB,CB,27-350,90,87,10,37,42,8,1,87,0,0,,0,,42,170,91,0,1,0,0,0,65,0,True,Nott'hamForest_Sunderland_20250927
Neco Williams,3,wlsWAL,RB,24-167,90,78,5,22,24,32,3,78,3,2,66.7,0,0.0,28,150,62,1,0,0,2,1,46,13,True,Nott'hamForest_Sunderland_20250927
Matz Sels,26,beBEL,GK,33-213,90,30,22,28,2,0,0,30,0,0,,0,,17,105,68,0,0,0,0,0,19,0,True,Nott'hamForest_Sunderland_20250927
Wilson Isidor,18,frFRA,FW,25-031,84,16,2,4,4,8,5,16,2,1,50.0,1,50.0,10,69,11,0,2,1,1,2,10,3,False,Nott'hamForest_Sunderland_20250927
Brian Brobbey,9,nlNED,FW,23-238,6,5,0,3,2,1,0,5,0,0,,0,,3,31,31,1,0,0,1,0,3,0,False,Nott'hamForest_Sunderland_20250927
Enzo Le Fée,28,frFRA,"LW,AM",25-236,74,29,0,7,13,9,2,29,0,0,,0,,16,44,7,0,0,0,1,1,18,1,False,Nott'hamForest_Sunderland_20250927
Daniel Ballard,5,nirNIR,CB,26-005,16,5,3,4,0,1,1,5,0,0,,0,,0,0,0,0,0,0,0,0,0,0,False,Nott'hamForest_Sunderland_20250927
Chemsdine Talbi,7,maMAR,"RW,LW,LM",20-141,84,29,1,5,13,11,2,29,2,1,50.0,1,50.0,18,132,69,4,1,0,0,0,19,3,False,Nott'hamForest_Sunderland_20250927
Simon Adingra,24,ciCIV,LM,23-269,6,4,0,1,0,3,1,4,0,0,,0,,3,34,30,1,0,1,0,1,4,3,False,Nott'hamForest_Sunderland_20250927
Chris Rigg,11,engENG,AM,18-101,58,19,1,5,7,7,0,19,0,0,,0,,13,17,6,0,1,0,1,1,11,2,False,Nott'hamForest_Sunderland_20250927
Bertrand Traoré,25,bfBFA,"RM,RW",30-021,32,16,2,5,6,5,1,16,2,1,50.0,1,50.0,8,52,21,0,0,0,1,2,8,1,False,Nott'hamForest_Sunderland_20250927
Noah Sadiki,27,cdCOD,"DM,CM",20-284,90,41,3,9,19,13,0,41,1,1,100.0,0,0.0,30,171,107,2,2,0,2,1,32,6,False,Nott'hamForest_Sunderland_20250927
Granit Xhaka,34,chSUI,"DM,CM",33-000,90,51,10,20,25,7,0,51,0,0,,0,,22,100,38,0,0,0,0,2,18,0,False,Nott'hamForest_Sunderland_20250927
Arthur Masuaku,26,cdCOD,LB,31-324,58,43,0,15,18,11,2,43,3,1,33.3,2,66.7,22,76,42,1,0,0,1,0,28,1,False,Nott'hamForest_Sunderland_20250927
Lutsharel Geertruida,6,nlNED,RB,25-071,32,16,0,7,4,5,2,16,0,0,,0,,7,59,49,2,1,2,1,0,6,0,False,Nott'hamForest_Sunderland_20250927
Omar Alderete,15,pyPAR,CB,28-275,90,46,12,25,19,2,2,46,1,1,100.0,0,0.0,28,221,198,2,0,0,0,0,31,0,False,Nott'hamForest_Sunderland_20250927
Nordi Mukiele,20,frFRA,CB,27-330,90,61,16,40,18,3,0,61,1,1,100.0,0,0.0,34,185,121,0,0,0,0,0,34,1,False,Nott'hamForest_Sunderland_20250927
Trai Hume,32,nirNIR,"RB,LB",23-193,90,49,7,23,22,4,1,49,0,0,,0,,24,100,75,2,1,0,0,1,22,1,False,Nott'hamForest_Sunderland_20250927
Robin Roefs,22,nlNED,GK,22-253,90,48,39,48,0,0,0,48,0,0,,0,,30,152,78,0,0,0,0,0,24,0,False,Nott'hamForest_Sunderland_20250927
Richarlison,9,brBRA,FW,28-140,90,18,2,2,5,11,2,18,1,0,0.0,1,100.0,10,35,0,0,1,0,2,1,12,2,True,Tottenham_Wolves_20250927
Xavi Simons,7,nlNED,"LW,AM",22-159,77,54,3,3,22,30,0,54,6,1,16.7,3,50.0,34,222,74,3,3,1,5,2,35,5,True,Tottenham_Wolves_20250927
Wilson Odobert,28,frFRA,LW,20-303,13,12,0,1,4,7,0,12,3,2,66.7,1,33.3,9,57,21,1,1,0,0,3,8,1,True,Tottenham_Wolves_20250927
Mohammed Kudus,20,ghGHA,"RW,AM,LW",25-056,90,47,0,1,11,35,3,47,10,5,50.0,5,50.0,31,203,100,6,3,2,5,7,31,12,True,Tottenham_Wolves_20250927
Lucas Bergvall,15,seSWE,"AM,DM",19-237,77,35,1,7,10,18,4,35,2,0,0.0,2,100.0,12,85,28,0,0,0,0,0,15,2,True,Tottenham_Wolves_20250927
Pape Matar Sarr,29,snSEN,DM,23-013,13,11,0,2,4,6,1,11,0,0,,0,,9,66,26,1,2,0,1,0,6,0,True,Tottenham_Wolves_20250927
Rodrigo Bentancur,30,uyURU,DM,28-094,61,54,4,11,34,9,3,54,1,0,0.0,1,100.0,30,208,82,0,0,0,1,0,30,1,True,Tottenham_Wolves_20250927
Brennan Johnson,22,wlsWAL,RW,24-127,29,9,0,3,3,3,0,9,0,0,,0,,8,67,14,1,1,0,0,0,8,1,True,Tottenham_Wolves_20250927
João Palhinha,6,ptPOR,DM,30-080,90,45,3,16,22,7,2,45,0,0,,0,,21,79,35,0,0,0,1,0,21,0,True,Tottenham_Wolves_20250927
Destiny Udogie,13,itITA,LB,22-303,83,63,1,9,28,28,2,63,2,0,0.0,0,0.0,39,303,212,9,3,2,3,1,38,9,True,Tottenham_Wolves_20250927
Mathys Tel,11,frFRA,LB,20-153,7,5,0,0,2,3,0,5,1,1,100.0,0,0.0,3,6,4,0,0,0,1,1,4,1,True,Tottenham_Wolves_20250927
Micky van de Ven,37,nlNED,CB,24-161,90,57,7,22,30,8,4,57,1,1,100.0,0,0.0,36,170,40,0,1,0,1,1,33,2,True,Tottenham_Wolves_20250927
Cristian Romero,17,arARG,CB,27-153,90,61,1,17,37,7,2,61,0,0,,0,,39,172,103,0,2,0,1,1,40,0,True,Tottenham_Wolves_20250927
Djed Spence,24,engENG,RB,25-049,61,48,3,13,24,11,0,48,0,0,,0,,35,201,86,3,1,0,2,0,38,4,True,Tottenham_Wolves_20250927
Pedro Porro,23,esESP,RB,26-014,29,37,2,11,12,14,0,37,2,1,50.0,1,50.0,26,162,97,1,3,0,1,0,23,1,True,Tottenham_Wolves_20250927
Guglielmo Vicario,1,itITA,GK,28-355,90,28,18,28,0,0,0,28,0,0,,0,,20,66,27,0,0,0,0,0,15,0,True,Tottenham_Wolves_20250927
Jørgen Strand Larsen,9,noNOR,FW,25-233,83,22,3,4,9,9,2,22,0,0,,0,,10,22,14,0,0,0,3,0,17,1,False,Tottenham_Wolves_20250927
Tolu Arokodare,14,ngNGA,FW,24-308,7,6,2,2,2,2,0,6,0,0,,0,,6,41,2,0,2,0,2,4,6,3,False,Tottenham_Wolves_20250927
Hwang Hee-chan,11,krKOR,LW,29-244,45,19,1,3,8,10,0,19,3,2,66.7,1,33.3,11,110,37,1,0,0,1,0,11,4,False,Tottenham_Wolves_20250927
Jackson Tchatchoua,38,cmCMR,"RB,RM",24-013,45,30,2,9,13,9,0,30,1,0,0.0,1,100.0,13,83,46,3,0,0,0,0,13,3,False,Tottenham_Wolves_20250927
Jhon Arias,10,coCOL,"FW,RW",28-006,89,83,3,13,45,27,3,83,2,1,50.0,1,50.0,43,156,62,2,1,0,3,1,49,4,False,Tottenham_Wolves_20250927
Toti Gomes,24,ptPOR,"CB,FW",26-254,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,False,Tottenham_Wolves_20250927
João Gomes,8,brBRA,"LM,CM",24-227,63,40,3,16,19,7,0,40,3,0,0.0,2,66.7,20,80,27,1,0,0,2,1,21,1,False,Tottenham_Wolves_20250927
Jean-Ricner Bellegarde,27,htHAI,"CM,LM",27-092,27,18,0,1,8,9,2,18,1,1,100.0,0,0.0,11,88,69,2,1,2,0,0,11,3,False,Tottenham_Wolves_20250927
André,7,brBRA,CM,24-073,90,53,7,24,29,2,1,53,2,1,50.0,0,0.0,31,139,57,1,0,0,1,1,31,0,False,Tottenham_Wolves_20250927
Marshall Munetsi,5,zwZIM,"CM,RM",29-097,90,40,10,17,13,10,2,40,3,1,33.3,2,66.7,17,60,45,1,4,0,1,0,22,5,False,Tottenham_Wolves_20250927
Hugo Bueno,3,esESP,LB,23-009,90,68,2,26,32,13,1,68,3,2,66.7,1,33.3,33,159,58,0,0,0,1,2,34,4,False,Tottenham_Wolves_20250927
Ladislav Krejčí,37,czCZE,CB,26-160,90,56,6,31,20,5,1,56,0,0,,0,,40,165,77,0,1,0,0,0,46,0,False,Tottenham_Wolves_20250927
Santiago Bueno,4,uyURU,"CB,RB",26-322,90,51,6,24,23,5,3,51,0,0,,0,,21,80,50,0,0,0,0,0,27,0,False,Tottenham_Wolves_20250927
Matt Doherty,2,ieIRL,RB,33-254,45,28,4,13,9,6,1,28,0,0,,0,,11,36,25,0,0,0,0,0,14,0,False,Tottenham_Wolves_20250927
Emmanuel Agbadou,12,ciCIV,CB,28-102,45,22,4,16,7,0,0,22,0,0,,0,,16,69,30,0,0,0,1,0,17,0,False,Tottenham_Wolves_20250927
Sam Johnstone,31,engENG,GK,32-186,90,47,37,46,1,0,0,47,0,0,,0,,27,122,66,0,0,0,0,0,27,0,False,Tottenham_Wolves_20250927
Ollie Watkins,11,engENG,FW,29-272,90,26,0,4,7,15,6,26,2,1,50.0,1,50.0,15,70,27,1,1,2,3,1,18,8,True,AstonVilla_Fulham_20250928
Morgan Rogers,27,engENG,LW,23-064,90,46,3,5,20,21,3,46,0,0,,0,,35,166,105,3,2,0,5,2,38,7,True,AstonVilla_Fulham_20250928
Evann Guessand,29,ciCIV,RW,24-089,81,32,1,5,17,11,2,32,7,4,57.1,3,42.9,21,93,42,4,1,2,2,3,22,10,True,AstonVilla_Fulham_20250928
Donyell Malen,17,nlNED,RW,26-262,9,4,1,2,2,0,0,4,1,0,0.0,1,100.0,1,6,3,0,0,0,0,0,1,0,True,AstonVilla_Fulham_20250928
Harvey Elliott,9,engENG,AM,22-177,45,24,0,1,12,11,2,24,1,0,0.0,0,0.0,14,66,20,1,2,0,1,0,17,4,True,AstonVilla_Fulham_20250928
Emi Buendía,10,arARG,AM,28-277,45,29,0,4,18,7,1,29,0,0,,0,,15,101,84,3,1,0,2,1,19,0,True,AstonVilla_Fulham_20250928
Lamare Bogarde,26,nlNED,DM,21-266,81,30,3,6,19,5,0,30,0,0,,0,,21,76,25,0,0,0,1,1,21,2,True,AstonVilla_Fulham_20250928
Victor Lindelöf,3,seSWE,DM,31-073,9,5,0,1,4,0,0,5,0,0,,0,,2,3,0,0,0,0,1,0,3,0,True,AstonVilla_Fulham_20250928
John McGinn,7,sctSCO,DM,30-345,71,38,1,10,16,12,1,38,1,0,0.0,0,0.0,21,98,46,1,0,0,0,1,22,0,True,AstonVilla_Fulham_20250928
Boubacar Kamara,44,frFRA,DM,25-309,19,13,4,6,5,2,0,13,1,0,0.0,0,0.0,6,14,7,0,0,0,0,0,6,0,True,AstonVilla_Fulham_20250928
Lucas Digne,12,frFRA,LB,32-070,90,39,3,6,20,13,2,39,0,0,,0,,27,120,73,3,1,0,1,0,25,4,True,AstonVilla_Fulham_20250928
Tyrone Mings,5,engENG,CB,32-199,31,24,1,8,16,0,0,24,0,0,,0,,17,95,52,0,0,0,0,0,20,0,True,AstonVilla_Fulham_20250928
Pau Torres,14,esESP,CB,28-255,59,43,10,23,19,1,0,43,0,0,,0,,25,93,51,0,1,0,0,0,24,0,True,AstonVilla_Fulham_20250928
Ezri Konsa,4,engENG,CB,27-340,90,73,11,39,34,0,0,73,0,0,,0,,52,275,147,1,0,0,0,0,53,0,True,AstonVilla_Fulham_20250928
Matty Cash,2,plPOL,RB,28-052,90,72,8,33,30,11,0,72,2,0,0.0,2,100.0,33,111,46,1,1,0,1,0,33,2,True,AstonVilla_Fulham_20250928
Emiliano Martínez,23,arARG,GK,33-026,90,45,30,45,0,0,0,45,0,0,,0,,32,113,76,0,0,0,0,0,25,0,True,AstonVilla_Fulham_20250928
Raúl Jiménez,7,mxMEX,FW,34-146,10,2,0,0,0,2,1,2,0,0,,0,,0,0,0,0,0,0,0,0,2,0,False,AstonVilla_Fulham_20250928
Adama Traoré,11,esESP,FW,29-246,80,20,0,1,10,9,2,20,2,1,50.0,1,50.0,11,46,25,1,0,0,2,1,9,3,False,AstonVilla_Fulham_20250928
Alex Iwobi,17,ngNGA,LW,29-148,64,25,0,10,12,3,0,25,1,0,0.0,1,100.0,16,88,21,0,0,0,1,0,18,0,False,AstonVilla_Fulham_20250928
Kevin,22,brBRA,LW,22-267,26,26,0,0,6,20,1,26,3,1,33.3,1,33.3,21,109,52,0,3,1,2,2,21,7,False,AstonVilla_Fulham_20250928
Harry Wilson,8,wlsWAL,RW,28-190,79,31,2,5,11,17,1,31,1,1,100.0,0,0.0,20,112,61,0,0,0,1,0,20,4,False,AstonVilla_Fulham_20250928
Samuel Chukwueze,19,ngNGA,RW,26-129,11,14,0,0,6,8,4,14,4,2,50.0,1,25.0,8,81,33,2,0,1,1,0,8,3,False,AstonVilla_Fulham_20250928
Joshua King,24,engENG,AM,18-268,64,20,0,4,8,10,6,20,3,3,100.0,0,0.0,12,113,45,1,3,1,3,1,12,2,False,AstonVilla_Fulham_20250928
Emile Smith Rowe,32,engENG,AM,25-062,26,20,0,4,8,8,0,20,0,0,,0,,13,71,36,1,1,0,0,0,17,0,False,AstonVilla_Fulham_20250928
Sander Berge,16,noNOR,DM,27-226,90,62,0,15,41,6,0,62,1,0,0.0,1,100.0,44,255,121,2,3,0,1,0,44,0,False,AstonVilla_Fulham_20250928
Saša Lukić,20,rsSRB,DM,29-046,90,48,2,11,22,15,5,48,1,0,0.0,0,0.0,26,120,68,3,0,1,0,0,27,2,False,AstonVilla_Fulham_20250928
Ryan Sessegnon,30,engENG,LB,25-133,79,59,2,25,25,9,3,59,0,0,,0,,28,160,60,2,0,1,2,0,31,1,False,AstonVilla_Fulham_20250928
Antonee Robinson,33,usUSA,LB,28-051,11,19,0,2,4,13,0,19,2,1,50.0,1,50.0,12,60,16,1,0,0,0,0,13,4,False,AstonVilla_Fulham_20250928
Calvin Bassey,3,ngNGA,CB,25-271,90,77,9,49,26,3,0,77,1,1,100.0,0,0.0,61,267,153,3,0,0,0,0,62,0,False,AstonVilla_Fulham_20250928
Joachim Andersen,5,dkDEN,CB,29-120,90,61,10,37,20,4,1,61,0,0,,0,,37,147,71,1,1,0,2,0,38,1,False,AstonVilla_Fulham_20250928
Timothy Castagne,21,beBEL,RB,29-297,90,61,3,31,18,12,2,61,1,1,100.0,0,0.0,34,160,61,2,0,1,1,0,34,8,False,AstonVilla_Fulham_20250928
Bernd Leno,1,deGER,GK,33-208,90,34,27,34,0,0,0,34,0,0,,0,,27,116,47,0,0,0,0,0,20,0,False,AstonVilla_Fulham_20250928
Nick Woltemade,27,deGER,FW,23-226,66,14,0,0,7,7,2,14,0,0,,0,,9,64,23,1,1,0,0,4,13,3,True,NewcastleUtd_Arsenal_20250928
William Osula,18,dkDEN,FW,22-055,24,2,0,0,2,0,0,2,0,0,,0,,2,2,0,0,0,0,0,1,2,0,True,NewcastleUtd_Arsenal_20250928
Anthony Gordon,10,engENG,LW,24-216,66,29,1,5,12,12,1,29,4,1,25.0,1,25.0,15,102,55,1,0,0,3,0,15,1,True,NewcastleUtd_Arsenal_20250928
Kieran Trippier,2,engENG,"RB,LW",35-009,24,16,2,6,4,6,0,16,0,0,,0,,1,1,0,0,0,0,0,0,2,0,True,NewcastleUtd_Arsenal_20250928
Jacob Murphy,23,engENG,RW,30-216,66,14,1,4,3,8,2,14,1,1,100.0,0,0.0,9,116,80,1,1,1,1,0,8,2,True,NewcastleUtd_Arsenal_20250928
Anthony Elanga,20,seSWE,"RM,RW",23-154,24,8,0,1,1,6,1,8,1,0,0.0,1,100.0,2,5,4,0,0,0,0,0,4,3,True,NewcastleUtd_Arsenal_20250928
Joelinton,7,brBRA,LM,29-045,89,40,1,12,23,6,1,40,0,0,,0,,13,74,49,1,0,1,0,3,19,1,True,NewcastleUtd_Arsenal_20250928
Harvey Barnes,11,engENG,LM,27-293,1,1,0,0,0,1,0,1,1,0,0.0,1,100.0,1,1,0,0,0,0,0,0,1,1,True,NewcastleUtd_Arsenal_20250928
Sandro Tonali,8,itITA,CM,25-143,90,49,4,13,22,14,0,49,1,1,100.0,0,0.0,19,121,50,0,0,0,1,0,21,1,True,NewcastleUtd_Arsenal_20250928
Bruno Guimarães,39,brBRA,"RM,CM",27-316,90,35,5,9,14,12,1,35,1,0,0.0,0,0.0,17,71,13,0,1,0,1,2,21,2,True,NewcastleUtd_Arsenal_20250928
Dan Burn,33,engENG,"LB,CB",33-142,90,54,4,17,25,12,3,54,0,0,,0,,8,40,21,0,0,0,1,0,25,2,True,NewcastleUtd_Arsenal_20250928
Sven Botman,4,nlNED,CB,25-259,90,64,16,42,20,2,2,64,0,0,,0,,25,99,32,0,0,0,0,0,32,0,True,NewcastleUtd_Arsenal_20250928
Malick Thiaw,12,deGER,CB,24-051,90,38,12,23,14,2,2,38,0,0,,0,,11,83,53,0,0,0,0,0,18,0,True,NewcastleUtd_Arsenal_20250928
Valentino Livramento,21,engENG,"RB,LB",22-320,76,30,2,8,12,10,0,30,1,0,0.0,0,0.0,10,69,45,2,1,0,0,0,10,4,True,NewcastleUtd_Arsenal_20250928
Jamaal Lascelles,6,engENG,CB,31-321,14,10,2,7,1,2,2,10,0,0,,0,,2,8,1,0,0,0,0,0,5,1,True,NewcastleUtd_Arsenal_20250928
Nick Pope,1,engENG,GK,33-162,90,43,34,43,1,0,0,43,0,0,,0,,21,148,86,0,0,0,0,0,15,0,True,NewcastleUtd_Arsenal_20250928
Viktor Gyökeres,14,seSWE,FW,27-116,90,30,1,1,9,21,12,30,3,1,33.3,2,66.7,14,78,5,0,1,1,5,1,19,6,False,NewcastleUtd_Arsenal_20250928
Leandro Trossard,19,beBEL,"LW,LB",30-298,87,33,0,3,12,18,5,33,0,0,,0,,22,60,23,1,0,1,1,0,30,5,False,NewcastleUtd_Arsenal_20250928
Myles Lewis-Skelly,49,engENG,LB,19-002,3,7,0,0,3,4,1,7,0,0,,0,,5,21,13,0,0,0,0,0,5,3,False,NewcastleUtd_Arsenal_20250928
Bukayo Saka,7,engENG,RW,24-023,69,42,0,5,15,22,6,42,5,3,60.0,1,20.0,23,189,150,5,4,2,2,1,30,11,False,NewcastleUtd_Arsenal_20250928
Gabriel Martinelli,11,brBRA,RW,24-102,21,7,1,2,2,3,1,7,1,1,100.0,0,0.0,3,11,2,0,0,0,1,0,3,1,False,NewcastleUtd_Arsenal_20250928
Eberechi Eze,10,engENG,"AM,LW",27-091,90,43,1,5,20,18,6,43,2,2,100.0,0,0.0,24,89,22,0,0,0,2,2,27,4,False,NewcastleUtd_Arsenal_20250928
Declan Rice,41,engENG,"DM,CM",26-257,90,101,5,18,49,36,2,101,2,1,50.0,0,0.0,57,328,157,2,4,0,0,0,69,4,False,NewcastleUtd_Arsenal_20250928
Martín Zubimendi,36,esESP,"DM,LM",26-238,81,68,3,14,41,13,0,68,0,0,,0,,37,174,57,0,3,0,0,1,50,1,False,NewcastleUtd_Arsenal_20250928
Martin Ødegaard,8,noNOR,LM,26-285,9,20,0,0,12,8,0,20,0,0,,0,,14,111,40,1,1,0,0,0,15,0,False,NewcastleUtd_Arsenal_20250928
Riccardo Calafiori,33,itITA,LB,23-132,69,43,3,14,11,18,2,43,0,0,,0,,19,88,35,1,1,0,0,0,22,2,False,NewcastleUtd_Arsenal_20250928
Mikel Merino,23,esESP,RM,29-098,21,8,1,3,2,4,2,8,0,0,,0,,3,7,4,0,0,0,0,0,5,3,False,NewcastleUtd_Arsenal_20250928
Gabriel Magalhães,6,brBRA,CB,27-283,90,81,12,36,38,7,1,81,0,0,,0,,44,212,148,1,2,0,0,0,51,0,False,NewcastleUtd_Arsenal_20250928
Cristhian Mosquera,3,esESP,CB,21-093,45,29,1,14,15,0,0,29,0,0,,0,,18,95,62,0,0,0,1,0,19,1,False,NewcastleUtd_Arsenal_20250928
William Saliba,2,frFRA,CB,24-188,45,38,3,13,22,3,1,38,0,0,,0,,22,70,21,0,0,0,1,0,29,1,False,NewcastleUtd_Arsenal_20250928
Jurriën Timber,12,nlNED,RB,24-103,90,63,2,12,24,27,4,63,7,3,42.9,3,42.9,35,121,62,1,1,0,1,1,38,11,False,NewcastleUtd_Arsenal_20250928
David Raya,1,esESP,GK,30-013,90,38,28,35,3,0,0,38,0,0,,0,,20,99,39,0,0,0,0,0,21,0,False,NewcastleUtd_Arsenal_20250928
Beto,9,gwGNB,FW,27-241,68,15,1,1,4,10,2,15,2,0,0.0,2,100.0,7,11,1,0,0,0,3,1,12,2,True,Everton_WestHam_20250929
Thierno Barry,11,frFRA,FW,22-343,22,4,1,1,2,1,0,4,0,0,,0,,1,1,1,0,0,0,0,0,3,1,True,Everton_WestHam_20250929
Jack Grealish,18,engENG,LW,30-019,90,55,1,9,16,31,10,55,4,1,25.0,3,75.0,36,242,161,8,5,6,3,1,44,17,True,Everton_WestHam_20250929
Iliman Ndiaye,10,snSEN,RW,25-207,80,45,0,3,19,24,3,45,1,1,100.0,0,0.0,29,212,75,3,4,1,6,2,30,6,True,Everton_WestHam_20250929
Tyler Dibling,20,engENG,RW,19-201,10,6,1,2,1,3,0,6,2,1,50.0,0,0.0,4,53,17,1,1,0,0,1,5,2,True,Everton_WestHam_20250929
Kiernan Dewsbury-Hall,22,engENG,AM,27-023,90,53,3,7,17,30,6,53,1,1,100.0,0,0.0,40,166,104,3,3,0,1,1,39,8,True,Everton_WestHam_20250929
Idrissa Gana Gueye,27,snSEN,DM,36-003,90,72,1,16,36,20,0,72,1,0,0.0,1,100.0,51,158,74,0,2,0,0,2,52,0,True,Everton_WestHam_20250929
James Garner,37,engENG,DM,24-200,90,82,0,11,38,34,4,82,0,0,,0,,50,203,109,1,1,0,4,0,51,3,True,Everton_WestHam_20250929
Vitaliy Mykolenko,16,uaUKR,LB,26-123,90,66,8,23,24,19,1,66,0,0,,0,,39,115,59,1,2,0,2,1,39,7,True,Everton_WestHam_20250929
Michael Keane,5,engENG,CB,32-261,90,68,11,31,33,4,2,68,0,0,,0,,39,171,88,0,0,0,0,1,44,1,True,Everton_WestHam_20250929
James Tarkowski,6,engENG,CB,32-314,90,56,9,21,32,3,0,56,0,0,,0,,29,180,134,1,0,0,1,0,30,0,True,Everton_WestHam_20250929
Jake O'Brien,15,ieIRL,RB,24-137,90,60,6,22,28,11,1,60,0,0,,0,,26,130,80,3,2,0,0,0,27,1,True,Everton_WestHam_20250929
Jordan Pickford,1,engENG,GK,31-206,90,38,19,35,3,0,0,38,0,0,,0,,27,180,131,0,0,0,0,0,20,0,True,Everton_WestHam_20250929
Niclas Füllkrug,11,deGER,FW,32-232,89,36,3,5,16,15,7,36,0,0,,0,,15,36,7,0,0,0,1,0,21,5,False,Everton_WestHam_20250929
Andy Irving,39,sctSCO,LM,25-139,1,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,False,Everton_WestHam_20250929
Crysencio Summerville,7,nlNED,LM,23-334,76,51,4,6,21,24,7,51,6,3,50.0,2,33.3,33,323,166,5,4,3,4,1,32,9,False,Everton_WestHam_20250929
Luis Guilherme,17,brBRA,"LM,FW",19-232,14,7,1,1,2,4,1,7,1,0,0.0,1,100.0,6,49,13,0,0,0,0,0,4,1,False,Everton_WestHam_20250929
Lucas Paquetá,10,brBRA,CM,28-033,89,73,3,16,24,34,2,73,2,0,0.0,2,100.0,39,142,76,1,0,0,3,0,42,5,False,Everton_WestHam_20250929
Igor,5,brBRA,CB,27-234,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,False,Everton_WestHam_20250929
Mateus Fernandes,18,ptPOR,CM,21-081,90,55,2,8,36,11,0,55,0,0,,0,,35,127,54,0,1,0,2,2,41,1,False,Everton_WestHam_20250929
Jarrod Bowen,20,engENG,RM,28-283,90,31,0,4,10,18,7,31,0,0,,0,,23,179,116,3,3,1,0,1,25,10,False,Everton_WestHam_20250929
Soungoutou Magassa,27,frFRA,DM,21-356,58,40,2,13,21,6,0,40,1,1,100.0,0,0.0,24,58,24,0,0,0,0,1,28,1,False,Everton_WestHam_20250929
Freddie Potts,32,engENG,"DM,CM",22-017,32,25,0,8,13,4,0,25,1,0,0.0,1,100.0,10,20,10,0,1,0,0,0,13,1,False,Everton_WestHam_20250929
El Hadji Malick Diouf,12,snSEN,LB,20-275,90,69,3,24,23,22,0,69,0,0,,0,,36,185,102,2,2,0,0,0,36,4,False,Everton_WestHam_20250929
Max Kilman,3,engENG,CB,28-129,90,43,13,24,19,1,1,43,0,0,,0,,15,62,42,0,0,0,0,0,19,0,False,Everton_WestHam_20250929
