player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,home,game_id
Wilson Isidor,18,frFRA,FW,24-354,15,4,2,2,1,1,1,4,0,0,,0,,1,21,20,1,0,1,0,0,1,1,True,Sunderland_WestHam_20250816
Simon Adingra,24,ciCIV,LW,23-227,75,31,0,3,11,17,2,31,2,0,0.0,2,100.0,19,97,34,1,0,0,1,2,22,11,True,Sunderland_WestHam_20250816
Enzo Le Fée,28,frFRA,LW,25-194,15,12,2,6,5,1,0,12,0,0,,0,,5,11,4,0,0,0,1,0,6,1,True,Sunderland_WestHam_20250816
Chemsdine Talbi,7,maMAR,RW,20-099,89,31,2,8,8,16,1,31,0,0,,0,,23,98,47,0,1,0,2,0,25,2,True,Sunderland_WestHam_20250816
Chris Rigg,11,engENG,RW,18-059,1,1,0,0,0,1,0,1,0,0,,0,,1,6,0,0,0,0,0,0,1,1,True,Sunderland_WestHam_20250816
Noah Sadiki,27,cdCOD,LM,20-242,90,40,3,15,18,7,0,40,1,0,0.0,1,100.0,21,99,27,1,0,0,1,0,20,1,True,Sunderland_WestHam_20250816
Granit Xhaka,34,chSUI,CM,32-323,90,60,3,18,33,9,0,60,0,0,,0,,33,99,23,0,0,0,1,1,38,0,True,Sunderland_WestHam_20250816
Habib Diarra,19,snSEN,RM,21-225,90,32,0,8,14,12,2,32,1,0,0.0,1,100.0,20,123,78,2,1,1,0,0,21,2,True,Sunderland_WestHam_20250816
Reinildo Mandava,17,mzMOZ,LB,31-207,90,59,4,19,27,13,0,59,0,0,,0,,31,188,101,2,3,0,0,1,39,2,True,Sunderland_WestHam_20250816
Jenson Seelt,23,nlNED,CB,22-085,52,35,5,14,20,2,0,35,0,0,,0,,20,140,94,0,1,0,0,0,19,0,True,Sunderland_WestHam_20250816
Omar Alderete,15,pyPAR,CB,28-233,38,21,4,12,8,1,0,21,0,0,,0,,13,68,43,1,1,0,1,0,13,0,True,Sunderland_WestHam_20250816
Daniel Ballard,5,nirNIR,CB,25-328,90,44,11,30,10,5,4,44,0,0,,0,,17,104,38,0,0,0,1,0,17,0,True,Sunderland_WestHam_20250816
Trai Hume,32,nirNIR,RB,23-151,90,58,3,22,21,15,1,58,1,1,100.0,0,0.0,19,112,72,1,0,0,0,0,27,1,True,Sunderland_WestHam_20250816
Robin Roefs,22,nlNED,GK,22-211,90,29,23,29,0,0,0,29,0,0,,0,,18,113,67,0,0,0,0,0,9,0,True,Sunderland_WestHam_20250816
