player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,home,game_id
Antoni Milambo,17,nlNED,AM,20-136,45,8,11,72.7,116,49,4,6,66.7,4,5,80.0,0,0,,0,0.0,0.0,0,2,0,0,3,False,Nott'hamForest_Brentford_20250817
Kevin Schade,7,deGER,LW,23-263,45,7,10,70.0,128,54,4,5,80.0,2,3,66.7,1,2,50.0,0,0.0,0.0,0,1,0,0,0,False,Nott'hamForest_Brentford_20250817
Mathias Jensen,8,dkDEN,DM,29-228,68,23,30,76.7,458,196,12,13,92.3,7,9,77.8,4,7,57.1,0,0.1,0.0,2,4,0,0,4,False,Nott'hamForest_Brentford_20250817
Jordan Henderson,6,engENG,CM,35-061,22,11,18,61.1,202,67,4,4,100.0,7,10,70.0,0,4,0.0,0,0.0,0.0,0,0,0,0,1,False,Nott'hamForest_Brentford_20250817
Yehor Yarmoliuk,18,uaUKR,"DM,RM",21-169,90,24,31,77.4,403,94,11,12,91.7,12,13,92.3,1,5,20.0,0,0.0,0.0,1,1,0,0,1,False,Nott'hamForest_Brentford_20250817
Rico Henry,3,engENG,LB,28-040,87,20,39,51.3,284,68,11,16,68.8,9,17,52.9,0,3,0.0,0,0.1,0.0,1,0,0,0,0,False,Nott'hamForest_Brentford_20250817
Aaron Hickey,2,sctSCO,LB,23-068,3,1,2,50.0,27,20,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,Nott'hamForest_Brentford_20250817
Sepp van den Berg,4,nlNED,CB,23-240,90,57,64,89.1,1169,508,14,15,93.3,34,38,89.5,9,11,81.8,0,0.0,0.0,0,5,0,0,6,False,Nott'hamForest_Brentford_20250817
Nathan Collins,22,ieIRL,CB,24-109,90,45,48,93.8,918,353,8,8,100.0,32,32,100.0,5,8,62.5,0,0.0,0.0,0,2,0,0,1,False,Nott'hamForest_Brentford_20250817
Michael Kayode,33,itITA,RB,21-038,90,34,43,79.1,667,174,12,14,85.7,17,22,77.3,5,7,71.4,0,0.2,0.1,2,0,0,0,2,False,Nott'hamForest_Brentford_20250817
Caoimhín Kelleher,1,ieIRL,GK,26-267,90,28,41,68.3,700,528,6,6,100.0,16,18,88.9,6,17,35.3,0,0.0,0.0,0,3,0,0,0,False,Nott'hamForest_Brentford_20250817
Matheus Cunha,10,brBRA,"FW,AM",26-082,90,14,16,87.5,166,42,8,8,100.0,4,6,66.7,0,0,,0,0.0,0.1,1,0,2,0,3,True,ManchesterUtd_Arsenal_20250817
Mason Mount,7,engENG,AM,26-219,64,20,27,74.1,392,142,9,11,81.8,4,6,66.7,5,7,71.4,0,0.1,0.2,2,5,0,0,5,True,ManchesterUtd_Arsenal_20250817
Benjamin Šeško,30,siSVN,FW,22-078,26,4,4,100.0,76,27,2,2,100.0,1,1,100.0,1,1,100.0,0,0.1,0.1,2,0,0,0,1,True,ManchesterUtd_Arsenal_20250817
Bryan Mbeumo,19,cmCMR,AM,26-010,90,25,36,69.4,354,96,13,17,76.5,5,7,71.4,3,5,60.0,0,0.0,0.1,1,1,3,1,3,True,ManchesterUtd_Arsenal_20250817
Bruno Fernandes,8,ptPOR,CM,30-343,90,49,62,79.0,877,328,22,23,95.7,16,19,84.2,10,18,55.6,0,0.2,0.3,5,5,2,1,10,True,ManchesterUtd_Arsenal_20250817
Casemiro,18,brBRA,CM,33-175,64,25,33,75.8,597,207,7,8,87.5,11,14,78.6,7,8,87.5,0,0.1,0.0,1,2,0,0,4,True,ManchesterUtd_Arsenal_20250817
Manuel Ugarte,25,uyURU,CM,24-128,26,17,19,89.5,305,69,7,9,77.8,8,8,100.0,1,1,100.0,0,0.0,0.0,1,6,0,0,6,True,ManchesterUtd_Arsenal_20250817
Patrick Dorgu,13,dkDEN,WB,20-295,90,31,40,77.5,440,40,15,20,75.0,14,16,87.5,0,1,0.0,0,0.0,0.0,0,2,1,0,2,True,ManchesterUtd_Arsenal_20250817
Diogo Dalot,2,ptPOR,WB,26-152,54,19,21,90.5,354,104,9,11,81.8,8,8,100.0,2,2,100.0,0,0.1,0.1,1,1,0,0,1,True,ManchesterUtd_Arsenal_20250817
Amad Diallo,16,ciCIV,WB,23-037,36,17,20,85.0,248,58,13,14,92.9,3,5,60.0,1,1,100.0,0,0.1,0.0,1,0,2,0,2,True,ManchesterUtd_Arsenal_20250817
Luke Shaw,23,engENG,CB,30-036,79,45,58,77.6,752,238,23,26,88.5,10,13,76.9,7,10,70.0,0,0.1,0.0,1,5,1,0,5,True,ManchesterUtd_Arsenal_20250817
Harry Maguire,5,engENG,CB,32-165,11,5,7,71.4,79,8,2,3,66.7,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,ManchesterUtd_Arsenal_20250817
Matthijs de Ligt,4,nlNED,CB,26-005,90,50,58,86.2,914,335,18,21,85.7,27,29,93.1,4,7,57.1,0,0.2,0.1,1,2,1,1,4,True,ManchesterUtd_Arsenal_20250817
Leny Yoro,15,frFRA,CB,19-277,90,59,65,90.8,1034,285,27,28,96.4,28,31,90.3,4,6,66.7,0,0.0,0.0,0,4,0,0,2,True,ManchesterUtd_Arsenal_20250817
Altay Bayındır,1,trTUR,GK,27-125,90,38,48,79.2,983,693,8,8,100.0,18,18,100.0,12,22,54.5,0,0.0,0.0,0,0,0,0,0,True,ManchesterUtd_Arsenal_20250817
Viktor Gyökeres,14,seSWE,FW,27-074,59,5,11,45.5,62,16,4,7,57.1,1,2,50.0,0,1,0.0,0,0.0,0.1,0,0,0,0,0,False,ManchesterUtd_Arsenal_20250817
Kai Havertz,29,deGER,FW,26-067,31,5,9,55.6,79,33,4,7,57.1,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,2,False,ManchesterUtd_Arsenal_20250817
Gabriel Martinelli,11,brBRA,LW,24-060,59,3,6,50.0,35,12,1,2,50.0,1,1,100.0,0,1,0.0,0,0.0,0.0,1,0,0,0,1,False,ManchesterUtd_Arsenal_20250817
Noni Madueke,20,engENG,LW,23-160,31,7,8,87.5,89,42,4,5,80.0,3,3,100.0,0,0,,0,0.0,0.0,1,0,1,0,1,False,ManchesterUtd_Arsenal_20250817
Bukayo Saka,7,engENG,RW,23-346,90,16,21,76.2,238,58,10,11,90.9,3,6,50.0,2,3,66.7,0,0.0,0.1,1,0,1,0,2,False,ManchesterUtd_Arsenal_20250817
Declan Rice,41,engENG,LM,26-215,82,20,27,74.1,321,81,10,13,76.9,8,9,88.9,2,5,40.0,0,0.0,0.0,0,0,1,0,2,False,ManchesterUtd_Arsenal_20250817
Mikel Merino,23,esESP,LM,29-056,8,2,4,50.0,18,10,2,3,66.7,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,False,ManchesterUtd_Arsenal_20250817
Martín Zubimendi,36,esESP,CM,26-196,90,39,45,86.7,591,192,20,22,90.9,17,20,85.0,2,2,100.0,0,0.0,0.0,0,3,0,0,2,False,ManchesterUtd_Arsenal_20250817
