Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,home,game_id
Tyrique George,32.0,eng ENG,FW,19-207,67,0,0,0,0,1,1,0,0,13,0,0,0,0.2,0.2,0.0,2,1,6,6,100.0,1,8,0,1,True,Chelsea_Fulham_20250830
Andrey Santos,17.0,br BRA,AM,21-119,10,0,0,0,0,0,0,1,0,9,1,0,0,0.0,0.0,0.0,1,0,6,8,75.0,1,7,1,0,True,Chelsea_Fulham_20250830
Pedro Neto,7.0,pt POR,"LW,RW",25-174,80,0,0,0,0,0,0,0,0,47,0,1,0,0.0,0.0,0.1,4,0,26,37,70.3,4,27,5,2,True,Chelsea_Fulham_20250830
Reece James,24.0,eng ENG,RB,25-265,10,0,0,0,0,1,1,0,0,9,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,0,6,0,0,True,Chelsea_Fulham_20250830
Estêvão Willian,41.0,br BRA,RW,18-128,67,0,0,0,0,1,1,0,0,32,0,0,0,0.4,0.4,0.0,2,0,19,22,86.4,1,24,3,4,True,Chelsea_Fulham_20250830
Jamie Gittens,11.0,eng ENG,LW,21-022,23,0,0,0,0,1,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,1,0,True,Chelsea_Fulham_20250830
João Pedro,20.0,br BRA,"AM,FW",23-338,90,1,0,0,0,3,2,0,0,44,1,0,1,0.7,0.7,0.4,1,0,23,28,82.1,4,26,4,0,True,Chelsea_Fulham_20250830
Enzo Fernández,8.0,ar ARG,DM,24-225,90,1,1,1,1,0,0,0,0,63,0,2,1,0.8,0.0,0.6,2,1,41,53,77.4,3,26,0,0,True,Chelsea_Fulham_20250830
Moisés Caicedo,25.0,ec ECU,DM,23-301,90,0,0,0,0,1,0,1,0,66,4,5,1,0.1,0.1,0.0,2,1,45,52,86.5,5,27,1,0,True,Chelsea_Fulham_20250830
Marc Cucurella,3.0,es ESP,LB,27-039,90,0,0,0,0,0,0,0,0,86,3,1,2,0.0,0.0,0.1,2,0,71,76,93.4,8,46,1,0,True,Chelsea_Fulham_20250830
Tosin Adarabioyo,4.0,eng ENG,CB,27-340,90,0,0,0,0,0,0,0,0,95,2,3,0,0.0,0.0,0.0,0,0,75,82,91.5,5,39,0,0,True,Chelsea_Fulham_20250830
Trevoh Chalobah,23.0,eng ENG,CB,26-056,90,0,0,0,0,3,0,0,0,75,5,4,1,0.1,0.1,0.0,2,0,53,59,89.8,3,43,0,1,True,Chelsea_Fulham_20250830
Malo Gusto,27.0,fr FRA,"RB,RW",22-103,90,0,0,0,0,0,0,0,0,74,2,2,0,0.0,0.0,0.0,3,0,56,62,90.3,5,38,2,0,True,Chelsea_Fulham_20250830
Robert Sánchez,1.0,es ESP,GK,27-285,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,22,34,64.7,0,21,0,0,True,Chelsea_Fulham_20250830
Rodrigo Muniz,9.0,br BRA,FW,24-118,59,0,0,0,0,1,0,0,0,19,0,0,1,0.0,0.0,0.0,0,0,2,10,20.0,1,11,0,0,False,Chelsea_Fulham_20250830
Raúl Jiménez,7.0,mx MEX,FW,34-117,31,0,0,0,0,2,0,0,0,17,1,0,0,0.1,0.1,0.0,1,0,6,8,75.0,2,7,0,0,False,Chelsea_Fulham_20250830
Alex Iwobi,17.0,ng NGA,LW,29-119,83,0,0,0,0,1,0,1,0,55,3,1,1,0.0,0.0,0.0,0,0,36,49,73.5,8,46,6,0,False,Chelsea_Fulham_20250830
Adama Traoré,11.0,es ESP,RW,29-217,7,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.1,1,0,7,9,77.8,0,6,2,0,False,Chelsea_Fulham_20250830
Timothy Castagne,21.0,be BEL,RW,29-268,59,0,0,0,0,1,0,0,0,28,3,1,1,0.1,0.1,0.1,3,0,12,18,66.7,1,12,0,0,False,Chelsea_Fulham_20250830
Harry Wilson,8.0,wls WAL,"RW,AM",28-161,31,0,0,0,0,1,0,0,0,10,1,0,0,0.0,0.0,0.0,1,0,6,6,100.0,2,5,0,0,False,Chelsea_Fulham_20250830
Joshua King,24.0,eng ENG,AM,18-239,66,0,0,0,0,1,1,0,0,22,0,1,1,0.0,0.0,0.1,1,0,13,14,92.9,2,16,2,0,False,Chelsea_Fulham_20250830
Emile Smith Rowe,32.0,eng ENG,"AM,LW",25-033,24,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,1,0,16,16,100.0,1,12,0,1,False,Chelsea_Fulham_20250830
Sander Berge,16.0,no NOR,DM,27-197,90,0,0,0,0,1,0,0,0,47,2,1,1,0.4,0.4,0.0,1,0,33,39,84.6,3,25,0,0,False,Chelsea_Fulham_20250830
Saša Lukić,20.0,rs SRB,DM,29-017,90,0,0,0,0,0,0,1,0,35,5,0,2,0.0,0.0,0.2,4,0,22,29,75.9,3,14,1,0,False,Chelsea_Fulham_20250830
Ryan Sessegnon,30.0,eng ENG,LB,25-104,66,0,0,0,0,0,0,0,0,48,4,1,1,0.0,0.0,0.0,0,0,27,34,79.4,1,20,2,0,False,Chelsea_Fulham_20250830
Antonee Robinson,33.0,us USA,LB,28-022,24,0,0,0,0,0,0,0,0,28,0,1,0,0.0,0.0,0.0,2,0,21,25,84.0,2,12,2,0,False,Chelsea_Fulham_20250830
Calvin Bassey,3.0,ng NGA,CB,25-242,90,0,0,0,0,0,0,0,0,64,2,0,0,0.0,0.0,0.0,0,0,55,60,91.7,1,51,0,2,False,Chelsea_Fulham_20250830
Joachim Andersen,5.0,dk DEN,CB,29-091,90,0,0,0,0,2,0,0,0,67,3,0,0,0.2,0.2,0.4,3,0,46,53,86.8,2,37,2,0,False,Chelsea_Fulham_20250830
Kenny Tete,2.0,nl NED,RB,29-325,90,0,0,0,0,1,0,0,0,52,4,0,1,0.1,0.1,0.0,0,0,31,37,83.8,4,18,0,0,False,Chelsea_Fulham_20250830
Bernd Leno,1.0,de GER,GK,33-179,90,0,0,0,0,0,0,0,0,56,1,0,0,0.0,0.0,0.0,0,0,36,52,69.2,0,42,0,0,False,Chelsea_Fulham_20250830
Richarlison,9.0,br BRA,FW,28-112,90,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.1,0,0,5,16,31.3,1,10,0,0,True,Tottenham_Bournemouth_20250830
Brennan Johnson,22.0,wls WAL,LW,24-099,53,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.0,0,0,8,15,53.3,3,6,1,0,True,Tottenham_Bournemouth_20250830
Wilson Odobert,28.0,fr FRA,"LW,LM",20-275,37,0,0,0,0,1,0,0,0,19,0,0,0,0.1,0.1,0.0,2,0,12,15,80.0,2,11,1,2,True,Tottenham_Bournemouth_20250830
Mohammed Kudus,20.0,gh GHA,"RW,RM",25-028,90,0,0,0,0,0,0,0,0,44,4,0,1,0.0,0.0,0.0,1,0,19,26,73.1,2,24,4,4,True,Tottenham_Bournemouth_20250830
Pape Matar Sarr,29.0,sn SEN,LM,22-350,75,0,0,0,0,0,0,0,0,34,0,0,2,0.0,0.0,0.0,0,0,17,25,68.0,2,8,0,0,True,Tottenham_Bournemouth_20250830
Mathys Tel,11.0,fr FRA,"FW,LM",20-125,15,0,0,0,0,1,0,0,0,11,3,0,0,0.0,0.0,0.0,0,0,5,6,83.3,2,5,0,0,True,Tottenham_Bournemouth_20250830
João Palhinha,6.0,pt POR,CM,30-052,53,0,0,0,0,0,0,0,0,44,2,0,0,0.0,0.0,0.0,1,0,29,34,85.3,0,12,0,0,True,Tottenham_Bournemouth_20250830
Lucas Bergvall,15.0,se SWE,"RM,CM",19-209,37,0,0,0,0,1,1,0,0,23,1,0,0,0.1,0.1,0.0,0,0,12,20,60.0,2,11,2,1,True,Tottenham_Bournemouth_20250830
Rodrigo Bentancur,30.0,uy URU,"RM,CM",28-066,90,0,0,0,0,0,0,0,0,75,1,0,0,0.0,0.0,0.0,0,0,61,69,88.4,6,29,1,1,True,Tottenham_Bournemouth_20250830
Djed Spence,24.0,eng ENG,"LB,RB",25-021,90,0,0,0,0,0,0,1,0,70,0,0,3,0.0,0.0,0.0,1,0,49,60,81.7,3,33,3,1,True,Tottenham_Bournemouth_20250830
Micky van de Ven,37.0,nl NED,CB,24-133,90,0,0,0,0,0,0,1,0,102,0,2,4,0.0,0.0,0.0,2,0,79,89,88.8,5,41,3,0,True,Tottenham_Bournemouth_20250830
Cristian Romero,17.0,ar ARG,CB,27-125,90,0,0,0,0,0,0,0,0,61,2,1,1,0.0,0.0,0.0,1,0,46,50,92.0,5,25,1,1,True,Tottenham_Bournemouth_20250830
Pedro Porro,23.0,es ESP,RB,25-351,70,0,0,0,0,1,0,0,0,44,2,1,2,0.0,0.0,0.0,1,0,14,25,56.0,2,10,1,0,True,Tottenham_Bournemouth_20250830
Destiny Udogie,13.0,it ITA,LB,22-275,20,0,0,0,0,1,0,0,0,30,1,0,0,0.0,0.0,0.0,1,0,20,23,87.0,6,10,0,0,True,Tottenham_Bournemouth_20250830
Guglielmo Vicario,1.0,it ITA,GK,28-327,90,0,0,0,0,0,0,0,0,63,0,0,0,0.0,0.0,0.0,0,0,48,58,82.8,0,23,0,0,True,Tottenham_Bournemouth_20250830
Evanilson,9.0,br BRA,FW,25-328,80,1,0,0,0,5,2,0,0,29,0,0,1,0.5,0.5,0.2,3,0,13,18,72.2,4,10,0,0,False,Tottenham_Bournemouth_20250830
Eli Junior Kroupi,22.0,fr FRA,FW,19-068,10,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,0,False,Tottenham_Bournemouth_20250830
Antoine Semenyo,24.0,gh GHA,LW,25-235,90,0,0,0,0,3,1,1,0,39,2,0,0,0.2,0.2,0.1,6,0,18,30,60.0,5,25,6,4,False,Tottenham_Bournemouth_20250830
David Brooks,7.0,wls WAL,RW,28-053,63,0,0,0,0,4,2,0,0,31,4,0,0,0.3,0.3,0.3,5,0,13,21,61.9,4,11,1,0,False,Tottenham_Bournemouth_20250830
Amine Adli,17.0,ma MAR,RW,25-112,27,0,0,0,0,0,0,0,0,18,4,1,1,0.0,0.0,0.0,2,0,7,9,77.8,1,7,0,0,False,Tottenham_Bournemouth_20250830
Marcus Tavernier,16.0,eng ENG,AM,26-161,80,0,0,0,0,3,0,0,0,36,3,0,0,0.3,0.3,0.0,1,0,17,24,70.8,3,18,1,0,False,Tottenham_Bournemouth_20250830
Justin Kluivert,19.0,nl NED,AM,26-117,10,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,3,0,0,False,Tottenham_Bournemouth_20250830
Alex Scott,8.0,eng ENG,DM,22-009,62,0,0,0,0,1,0,0,0,33,2,0,1,0.0,0.0,0.1,5,1,16,20,80.0,2,15,1,0,False,Tottenham_Bournemouth_20250830
Ryan Christie,10.0,sct SCO,DM,30-189,28,0,0,0,0,0,0,0,0,20,4,0,1,0.0,0.0,0.0,0,0,4,11,36.4,0,6,1,0,False,Tottenham_Bournemouth_20250830
Tyler Adams,12.0,us USA,DM,26-197,90,0,0,0,0,1,1,1,0,47,2,2,1,0.0,0.0,0.0,2,0,28,37,75.7,5,15,0,1,False,Tottenham_Bournemouth_20250830
Adrien Truffert,3.0,fr FRA,LB,23-283,90,0,0,0,0,1,0,0,0,43,5,0,0,0.0,0.0,0.1,4,0,18,27,66.7,0,16,3,3,False,Tottenham_Bournemouth_20250830
Marcos Senesi,5.0,ar ARG,CB,28-112,90,0,1,0,0,2,0,0,0,54,2,4,0,0.1,0.1,0.1,5,1,27,41,65.9,4,26,0,0,False,Tottenham_Bournemouth_20250830
Bafodé Diakité,18.0,fr FRA,CB,24-236,90,0,0,0,0,0,0,0,0,36,0,1,1,0.0,0.0,0.0,1,0,20,26,76.9,1,6,0,0,False,Tottenham_Bournemouth_20250830
Adam Smith,15.0,eng ENG,RB,34-123,25,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,1,0,0,False,Tottenham_Bournemouth_20250830
James Hill,23.0,eng ENG,RB,23-232,65,0,0,0,0,0,0,1,0,35,0,1,2,0.0,0.0,0.0,1,0,14,25,56.0,4,3,0,0,False,Tottenham_Bournemouth_20250830
Đorđe Petrović,1.0,rs SRB,GK,25-326,90,0,0,0,0,0,0,1,0,36,0,0,0,0.0,0.0,0.0,1,0,19,34,55.9,0,21,0,0,False,Tottenham_Bournemouth_20250830
Eliezer Mayenda,12.0,es ESP,FW,20-114,64,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,5,1,0,True,Sunderland_Brentford_20250830
Wilson Isidor,18.0,fr FRA,FW,25-003,26,1,0,0,0,3,2,0,0,11,2,0,0,0.2,0.2,0.0,1,0,3,5,60.0,1,6,0,0,True,Sunderland_Brentford_20250830
Enzo Le Fée,28.0,fr FRA,"LW,LM",25-208,90,1,0,1,1,0,0,0,0,51,6,0,2,0.8,0.0,0.2,3,2,28,37,75.7,3,32,1,1,True,Sunderland_Brentford_20250830
Chemsdine Talbi,7.0,ma MAR,RW,20-113,64,0,0,0,0,1,0,0,0,34,2,0,0,0.1,0.1,0.0,2,0,22,27,81.5,1,24,1,0,True,Sunderland_Brentford_20250830
Simon Adingra,24.0,ci CIV,"RW,RM",23-241,26,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,1,0,5,5,100.0,0,6,0,1,True,Sunderland_Brentford_20250830
Noah Sadiki,27.0,cd COD,"LM,CM",20-256,90,0,0,0,0,0,0,0,0,40,2,0,0,0.0,0.0,0.1,3,0,31,36,86.1,4,25,1,0,True,Sunderland_Brentford_20250830
Granit Xhaka,34.0,ch SUI,CM,32-337,90,0,1,0,0,0,0,1,0,70,1,1,1,0.0,0.0,0.1,3,1,50,61,82.0,9,37,1,0,True,Sunderland_Brentford_20250830
Habib Diarra,19.0,sn SEN,RM,21-239,86,0,0,0,0,3,0,1,0,35,0,1,0,0.3,0.3,0.0,2,1,24,30,80.0,4,28,3,1,True,Sunderland_Brentford_20250830
Marc Guiu,9.0,es ESP,FW,19-238,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,True,Sunderland_Brentford_20250830
Reinildo Mandava,17.0,mz MOZ,LB,31-221,90,0,0,0,0,1,0,1,0,57,3,2,0,0.0,0.0,0.0,0,0,33,43,76.7,4,26,2,0,True,Sunderland_Brentford_20250830
Omar Alderete,15.0,py PAR,CB,28-247,90,0,0,0,0,1,0,0,0,72,2,2,0,0.0,0.0,0.0,0,0,47,57,82.5,4,49,3,1,True,Sunderland_Brentford_20250830
Nordi Mukiele,20.0,fr FRA,CB,27-302,90,0,0,0,0,1,0,0,0,80,5,0,0,0.1,0.1,0.0,2,0,50,61,82.0,6,42,1,0,True,Sunderland_Brentford_20250830
Trai Hume,32.0,nir NIR,RB,23-165,90,0,0,0,0,1,0,0,0,53,4,1,1,0.0,0.0,0.0,2,0,24,40,60.0,3,20,1,0,True,Sunderland_Brentford_20250830
Robin Roefs,22.0,nl NED,GK,22-225,90,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,0,0,41,52,78.8,0,36,0,0,True,Sunderland_Brentford_20250830
Thiago,9.0,br BRA,FW,24-065,90,1,0,0,0,1,1,1,0,23,0,0,0,0.1,0.1,0.1,1,0,11,13,84.6,1,7,0,2,False,Sunderland_Brentford_20250830
Kevin Schade,7.0,de GER,LW,23-276,89,0,0,0,1,2,0,0,0,29,1,0,1,0.9,0.2,0.0,0,0,12,17,70.6,0,12,0,1,False,Sunderland_Brentford_20250830
Fabio Carvalho,14.0,pt POR,LW,23-000,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,False,Sunderland_Brentford_20250830
Dango Ouattara,19.0,bf BFA,RW,23-200,90,0,0,0,0,1,1,0,0,27,0,2,1,0.1,0.1,0.0,0,0,4,11,36.4,0,13,2,0,False,Sunderland_Brentford_20250830
Mikkel Damsgaard,24.0,dk DEN,AM,25-058,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.2,4,1,26,36,72.2,4,25,3,1,False,Sunderland_Brentford_20250830
Yehor Yarmoliuk,18.0,ua UKR,DM,21-182,90,0,0,0,0,1,1,0,0,56,2,0,4,0.0,0.0,0.0,0,0,36,42,85.7,4,30,2,1,False,Sunderland_Brentford_20250830
Jordan Henderson,6.0,eng ENG,DM,35-074,70,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,1,0,35,47,74.5,4,29,2,0,False,Sunderland_Brentford_20250830
Frank Onyeka,15.0,ng NGA,DM,27-241,20,0,1,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.1,1,1,10,13,76.9,0,9,1,0,False,Sunderland_Brentford_20250830
Keane Lewis-Potter,23.0,eng ENG,LB,24-189,71,0,0,0,0,0,0,0,0,26,2,0,0,0.0,0.0,0.0,0,0,17,21,81.0,0,11,0,0,False,Sunderland_Brentford_20250830
Rico Henry,3.0,eng ENG,LB,28-053,19,0,0,0,0,1,0,1,0,14,1,0,0,0.0,0.0,0.0,0,0,4,10,40.0,1,6,0,1,False,Sunderland_Brentford_20250830
Sepp van den Berg,4.0,nl NED,CB,23-253,90,0,0,0,0,0,0,0,0,64,0,0,0,0.0,0.0,0.0,0,0,45,48,93.8,3,30,1,0,False,Sunderland_Brentford_20250830
Nathan Collins,22.0,ie IRL,CB,24-122,90,0,0,0,0,0,0,0,0,53,1,1,2,0.0,0.0,0.0,1,0,37,41,90.2,4,32,1,0,False,Sunderland_Brentford_20250830
Michael Kayode,33.0,it ITA,RB,21-051,90,0,0,0,0,0,0,0,0,57,1,1,2,0.0,0.0,0.0,1,0,33,45,73.3,3,32,1,2,False,Sunderland_Brentford_20250830
Caoimhín Kelleher,1.0,ie IRL,GK,26-280,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,1,0,28,44,63.6,0,24,0,0,False,Sunderland_Brentford_20250830
Hwang Hee-chan,11.0,kr KOR,"FW,RW",29-216,75,1,0,0,0,1,1,0,0,18,0,1,0,0.4,0.4,0.0,0,0,5,13,38.5,0,7,0,0,True,Wolves_Everton_20250830
Sasa Kalajdzic,18.0,at AUT,RW,28-054,15,0,0,0,0,0,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,4,6,66.7,0,3,0,0,True,Wolves_Everton_20250830
Jhon Arias,10.0,co COL,LW,27-343,63,0,0,0,0,1,1,0,0,23,6,0,1,0.0,0.0,0.0,2,0,12,13,92.3,3,7,2,1,True,Wolves_Everton_20250830
Jean-Ricner Bellegarde,27.0,ht HAI,LW,27-064,27,0,0,0,0,2,1,0,0,19,0,0,0,0.0,0.0,0.0,2,0,12,17,70.6,4,12,1,0,True,Wolves_Everton_20250830
Marshall Munetsi,5.0,zw ZIM,"RW,FW",29-069,90,0,1,0,0,1,0,0,0,29,2,0,1,0.0,0.0,0.4,3,2,13,21,61.9,2,11,0,0,True,Wolves_Everton_20250830
Hugo Bueno,3.0,es ESP,LM,22-346,75,0,0,0,0,0,0,0,0,67,5,2,1,0.0,0.0,0.0,2,0,37,47,78.7,2,25,3,1,True,Wolves_Everton_20250830
David Møller Wolfe,6.0,no NOR,LM,23-129,15,0,1,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.3,2,1,7,10,70.0,0,2,1,0,True,Wolves_Everton_20250830
André,7.0,br BRA,CM,24-045,63,0,0,0,0,0,0,0,0,44,1,0,1,0.0,0.0,0.0,0,0,35,39,89.7,5,22,0,0,True,Wolves_Everton_20250830
Rodrigo Gomes,21.0,pt POR,RM,22-054,27,1,0,0,0,3,1,0,0,20,1,0,0,0.4,0.4,0.0,0,0,10,12,83.3,0,8,0,0,True,Wolves_Everton_20250830
João Gomes,8.0,br BRA,CM,24-199,90,0,0,0,0,1,0,0,0,72,0,0,2,0.0,0.0,0.0,2,0,56,66,84.8,8,36,0,1,True,Wolves_Everton_20250830
Jackson Tchatchoua,38.0,cm CMR,RM,23-350,63,0,0,0,0,0,0,0,0,44,1,0,2,0.0,0.0,0.0,1,0,26,34,76.5,0,19,0,0,True,Wolves_Everton_20250830
Fer López,28.0,es ESP,CM,21-098,27,0,0,0,0,1,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,16,21,76.2,4,13,2,0,True,Wolves_Everton_20250830
Toti Gomes,24.0,pt POR,CB,26-226,90,0,0,0,0,1,0,0,0,114,5,1,0,0.0,0.0,0.0,1,0,84,100,84.0,2,63,1,0,True,Wolves_Everton_20250830
Emmanuel Agbadou,12.0,ci CIV,CB,28-074,90,0,0,0,0,1,0,0,0,84,0,1,2,0.1,0.1,0.0,1,0,64,74,86.5,4,41,0,0,True,Wolves_Everton_20250830
Santiago Bueno,4.0,uy URU,CB,26-294,90,0,0,0,0,0,0,0,0,77,2,4,0,0.0,0.0,0.0,2,1,55,65,84.6,4,37,0,0,True,Wolves_Everton_20250830
José Sá,1.0,pt POR,GK,32-225,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,1,0,25,38,65.8,0,29,0,0,True,Wolves_Everton_20250830
Beto,9.0,gw GNB,FW,27-211,75,1,0,0,0,1,1,0,0,21,0,0,1,0.6,0.6,0.2,1,0,9,15,60.0,1,9,0,0,False,Wolves_Everton_20250830
Thierno Barry,11.0,fr FRA,FW,22-313,15,0,0,0,0,0,0,0,0,14,0,1,1,0.0,0.0,0.0,1,0,5,6,83.3,0,7,0,0,False,Wolves_Everton_20250830
Jack Grealish,18.0,eng ENG,LW,29-354,87,0,2,0,0,2,1,0,0,50,1,2,1,0.3,0.3,0.7,4,3,34,37,91.9,5,36,4,5,False,Wolves_Everton_20250830
Carlos Alcaraz,24.0,ar ARG,LW,22-273,3,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,False,Wolves_Everton_20250830
Iliman Ndiaye,10.0,sn SEN,RW,25-177,89,1,0,0,0,1,1,0,0,44,3,0,0,0.6,0.6,0.1,3,0,23,34,67.6,2,26,2,1,False,Wolves_Everton_20250830
Séamus Coleman,23.0,ie IRL,RW,36-323,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,False,Wolves_Everton_20250830
Kiernan Dewsbury-Hall,22.0,eng ENG,AM,26-358,90,1,1,0,0,1,1,1,0,45,1,0,1,0.1,0.1,0.8,6,1,30,35,85.7,8,30,2,1,False,Wolves_Everton_20250830
Idrissa Gana Gueye,27.0,sn SEN,DM,35-338,75,0,0,0,0,3,0,0,0,39,3,0,0,0.3,0.3,0.1,2,1,26,32,81.3,4,24,1,0,False,Wolves_Everton_20250830
Tim Iroegbunam,42.0,eng ENG,DM,22-061,15,0,0,0,0,1,0,0,0,7,0,1,1,0.0,0.0,0.0,0,0,2,4,50.0,1,1,0,0,False,Wolves_Everton_20250830
James Garner,37.0,eng ENG,DM,24-170,90,0,0,0,0,0,0,0,0,59,3,3,2,0.0,0.0,0.0,0,0,38,48,79.2,3,29,0,1,False,Wolves_Everton_20250830
Vitaliy Mykolenko,16.0,ua UKR,LB,26-093,90,0,0,0,0,0,0,0,0,58,1,1,1,0.0,0.0,0.0,1,1,35,46,76.1,5,29,0,0,False,Wolves_Everton_20250830
Michael Keane,5.0,eng ENG,CB,32-231,90,0,0,0,0,0,0,0,0,49,1,4,1,0.0,0.0,0.0,0,0,24,36,66.7,1,24,0,0,False,Wolves_Everton_20250830
James Tarkowski,6.0,eng ENG,CB,32-284,90,0,0,0,0,0,0,0,0,42,1,2,2,0.0,0.0,0.0,0,0,20,29,69.0,2,17,0,0,False,Wolves_Everton_20250830
Jake O'Brien,15.0,ie IRL,RB,24-107,90,0,0,0,0,1,0,0,0,65,1,2,1,0.1,0.1,0.0,1,0,30,47,63.8,3,35,1,0,False,Wolves_Everton_20250830
Jordan Pickford,1.0,eng ENG,GK,31-176,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,22,41,53.7,0,24,0,0,False,Wolves_Everton_20250830
Matheus Cunha,10.0,br BRA,FW,26-095,30,0,0,0,0,1,1,0,0,11,0,0,0,0.0,0.0,0.1,1,0,8,10,80.0,3,8,1,0,True,ManchesterUtd_Burnley_20250830
Joshua Zirkzee,11.0,nl NED,"FW,AM",24-100,60,0,0,0,0,7,1,0,0,44,0,0,4,0.6,0.6,0.0,3,0,22,27,81.5,3,20,0,0,True,ManchesterUtd_Burnley_20250830
Mason Mount,7.0,eng ENG,AM,26-232,45,0,0,0,0,1,0,0,0,24,2,0,1,0.1,0.1,0.1,2,0,14,19,73.7,4,11,1,1,True,ManchesterUtd_Burnley_20250830
Kobbie Mainoo,37.0,eng ENG,CM,20-133,45,0,0,0,0,2,0,0,0,28,1,0,0,0.1,0.1,0.1,4,0,19,24,79.2,3,16,2,0,True,ManchesterUtd_Burnley_20250830
Bryan Mbeumo,19.0,cm CMR,AM,26-023,90,1,0,0,0,3,2,0,0,50,0,0,0,0.7,0.7,0.9,7,0,31,42,73.8,3,30,4,0,True,ManchesterUtd_Burnley_20250830
Bruno Fernandes,8.0,pt POR,"CM,AM",30-356,90,1,0,1,1,3,0,1,0,102,3,0,0,0.9,0.1,0.4,11,0,73,90,81.1,7,60,3,0,True,ManchesterUtd_Burnley_20250830
Casemiro,18.0,br BRA,CM,33-188,71,0,0,0,0,1,0,0,0,60,1,1,1,0.1,0.1,0.0,0,0,44,52,84.6,4,25,0,0,True,ManchesterUtd_Burnley_20250830
Benjamin Šeško,30.0,si SVN,FW,22-091,19,0,0,0,0,2,0,0,0,7,0,0,1,0.3,0.3,0.0,0,0,3,3,100.0,0,6,0,0,True,ManchesterUtd_Burnley_20250830
Diogo Dalot,2.0,pt POR,WB,26-165,90,0,1,0,0,0,0,0,0,68,2,2,1,0.0,0.0,0.7,7,2,37,53,69.8,3,35,7,3,True,ManchesterUtd_Burnley_20250830
Amad Diallo,16.0,ci CIV,WB,23-050,90,0,0,0,0,3,1,0,0,58,1,0,1,0.6,0.6,0.1,8,2,38,45,84.4,3,37,7,1,True,ManchesterUtd_Burnley_20250830
Luke Shaw,23.0,eng ENG,CB,30-049,90,0,0,0,0,0,0,0,0,73,3,0,2,0.0,0.0,0.0,1,0,56,65,86.2,8,44,2,0,True,ManchesterUtd_Burnley_20250830
Matthijs de Ligt,4.0,nl NED,CB,26-018,90,0,0,0,0,1,0,0,0,63,0,0,0,0.1,0.1,0.0,0,0,45,51,88.2,2,32,0,0,True,ManchesterUtd_Burnley_20250830
Leny Yoro,15.0,fr FRA,CB,19-290,84,0,0,0,0,1,0,0,0,42,2,0,0,0.1,0.1,0.0,0,0,29,36,80.6,3,25,1,0,True,ManchesterUtd_Burnley_20250830
Noussair Mazraoui,3.0,ma MAR,CB,27-289,6,0,0,0,0,0,0,0,0,11,1,0,1,0.0,0.0,0.0,1,0,8,9,88.9,2,4,0,0,True,ManchesterUtd_Burnley_20250830
Altay Bayındır,1.0,tr TUR,GK,27-138,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,22,32,68.8,0,27,0,0,True,ManchesterUtd_Burnley_20250830
Lyle Foster,9.0,za RSA,FW,24-361,90,1,0,0,0,1,1,1,0,34,1,0,1,0.5,0.5,0.0,0,0,11,21,52.4,0,21,0,0,False,ManchesterUtd_Burnley_20250830
