Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
Dean Henderson,eng ENG,28-158,90,2,0.0,2,100.0,0.7,8.0,16,50.0,17.0,2.0,52.9,43.6,19,0.0,0.0,1,12.0,False,Chelsea_CrystalPalace_20250817
Altay Bayındır,tr TUR,27-125,90,3,1.0,2,66.7,1.2,5.0,15,33.3,46.0,3.0,30.4,32.0,8,2.0,25.0,1,9.5,True,ManchesterUtd_Arsenal_20250817
David Raya,es ESP,29-336,90,7,0.0,7,100.0,0.7,5.0,20,25.0,28.0,9.0,39.3,34.4,11,2.0,18.2,0,9.2,False,ManchesterUtd_Arsenal_20250817
Lucas Perri,br BRA,27-251,90,1,0.0,1,100.0,0.1,3.0,14,21.4,30.0,3.0,40.0,36.9,10,1.0,10.0,0,9.6,True,LeedsUnited_Everton_20250818
Jordan Pickford,eng ENG,31-164,90,3,1.0,2,100.0,1.1,9.0,25,36.0,46.0,5.0,39.1,33.3,20,1.0,5.0,2,14.7,False,LeedsUnited_Everton_20250818
Mads Hermansen,dk DEN,25-042,90,7,5.0,2,28.6,5.1,4.0,16,25.0,34.0,3.0,41.2,34.6,10,1.0,10.0,1,10.4,True,WestHam_Chelsea_20250822
Robert Sánchez,es ESP,27-277,90,4,1.0,3,75.0,0.3,6.0,18,33.3,37.0,5.0,43.2,38.1,15,1.0,6.7,0,11.0,False,WestHam_Chelsea_20250822
James Trafford,eng ENG,22-317,90,5,2.0,3,60.0,2.1,3.0,12,25.0,34.0,5.0,26.5,28.4,10,0.0,0.0,9,23.1,True,ManchesterCity_Tottenham_20250823
Guglielmo Vicario,it ITA,28-320,90,4,0.0,4,100.0,0.6,4.0,20,20.0,40.0,3.0,42.5,35.5,13,0.0,0.0,1,16.0,False,ManchesterCity_Tottenham_20250823
Đorđe Petrović,rs SRB,25-319,90,1,0.0,1,100.0,0.2,3.0,12,25.0,20.0,3.0,50.0,40.4,13,1.0,7.7,2,13.8,True,Bournemouth_Wolves_20250823
José Sá,pt POR,32-218,90,4,1.0,3,75.0,0.9,8.0,21,38.1,29.0,5.0,55.2,43.3,15,2.0,13.3,1,12.0,False,Bournemouth_Wolves_20250823
Martin Dúbravka,sk SVK,36-220,90,1,0.0,1,100.0,0.7,3.0,19,15.8,33.0,7.0,30.3,30.8,18,1.0,5.6,0,9.0,True,Burnley_Sunderland_20250823
Robin Roefs,nl NED,22-218,90,2,2.0,0,0.0,1.6,3.0,10,30.0,25.0,4.0,36.0,32.4,11,1.0,9.1,3,18.7,False,Burnley_Sunderland_20250823
Caoimhín Kelleher,ie IRL,26-273,90,2,0.0,2,100.0,0.1,14.0,25,56.0,21.0,2.0,85.7,50.4,20,1.0,5.0,0,6.5,True,Brentford_AstonVilla_20250823
Emiliano Martínez,ar ARG,32-355,90,2,1.0,1,50.0,1.0,4.0,5,80.0,35.0,5.0,14.3,23.3,7,1.0,14.3,0,13.8,False,Brentford_AstonVilla_20250823
