Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,home,game_id
Estêvão Willian,41.0,br BRA,RW,18-120,76,27,33,81.8,399,43,16,20,80.0,11,11,100.0,0,0,,1,0.8,0.6,1,1,1,0,2,False,-2477332544702716166
Jamie Gittens,11.0,eng ENG,LW,21-014,14,5,6,83.3,89,8,4,4,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,False,-2477332544702716166
João Pedro,20.0,br BRA,"AM,FW",23-330,90,23,27,85.2,297,53,18,19,94.7,3,4,75.0,1,1,100.0,2,0.7,0.1,2,1,0,0,0,False,-2477332544702716166
Enzo Fernández,8.0,ar ARG,DM,24-217,90,55,67,82.1,863,143,33,38,86.8,19,22,86.4,3,5,60.0,0,0.0,0.0,0,3,0,0,3,False,-2477332544702716166
Moisés Caicedo,25.0,ec ECU,DM,23-293,90,71,77,92.2,1189,390,33,34,97.1,36,39,92.3,2,4,50.0,0,0.0,0.0,0,8,0,0,7,False,-2477332544702716166
Marc Cucurella,3.0,es ESP,LB,27-031,68,67,76,88.2,1117,295,31,32,96.9,32,35,91.4,4,8,50.0,1,0.3,0.3,1,5,0,0,3,False,-2477332544702716166
Jorrel Hato,21.0,nl NED,LB,19-168,22,13,13,100.0,226,26,4,4,100.0,8,8,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,2,False,-2477332544702716166
Tosin Adarabioyo,4.0,eng ENG,CB,27-332,90,90,97,92.8,1584,531,30,32,93.8,57,59,96.6,3,5,60.0,0,0.0,0.0,0,6,0,0,1,False,-2477332544702716166
Trevoh Chalobah,23.0,eng ENG,CB,26-048,68,42,49,85.7,730,143,13,15,86.7,29,31,93.5,0,3,0.0,0,0.0,0.0,0,4,1,0,2,False,-2477332544702716166
Wesley Fofana,29.0,fr FRA,CB,24-248,22,11,11,100.0,175,54,5,5,100.0,6,6,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,-2477332544702716166
Malo Gusto,27.0,fr FRA,RB,22-095,68,31,35,88.6,510,139,16,18,88.9,13,14,92.9,2,3,66.7,0,0.0,0.0,0,1,1,0,2,False,-2477332544702716166
