Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,home,game_id
Viktor Gyökeres,14.0,se SWE,FW,27-101,67,7,11,63.6,138,38,3,4,75.0,2,2,100.0,2,2,100.0,0,0.0,0.0,1,1,1,0,2,True,468411341966927187
Declan Rice,41.0,eng ENG,LM,26-242,23,11,12,91.7,186,66,5,6,83.3,5,5,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,3,True,468411341966927187
Eberechi Eze,10.0,eng ENG,LW,27-076,78,20,26,76.9,327,79,10,10,100.0,8,11,72.7,1,2,50.0,1,0.5,0.4,1,1,1,0,4,True,468411341966927187
Leandro Trossard,19.0,be BEL,LW,30-283,12,5,7,71.4,100,23,1,1,100.0,3,3,100.0,1,2,50.0,1,0.1,0.3,1,0,1,0,1,True,468411341966927187
Noni Madueke,20.0,eng ENG,RW,23-187,77,26,45,57.8,384,128,13,16,81.3,8,13,61.5,2,7,28.6,0,0.7,0.7,5,0,2,0,3,True,468411341966927187
Gabriel Martinelli,11.0,br BRA,RW,24-087,13,4,7,57.1,96,2,3,5,60.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,True,468411341966927187
Mikel Merino,23.0,es ESP,"LM,FW",29-083,90,31,38,81.6,393,95,21,22,95.5,9,12,75.0,0,1,0.0,0,0.1,0.1,1,3,1,0,3,True,468411341966927187
Martín Zubimendi,36.0,es ESP,CM,26-223,90,37,44,84.1,666,188,12,13,92.3,22,25,88.0,2,5,40.0,0,0.0,0.0,1,1,1,0,3,True,468411341966927187
Martin Ødegaard,8.0,no NOR,RM,26-270,17,7,10,70.0,134,26,3,4,75.0,3,3,100.0,1,3,33.3,0,0.0,0.0,0,1,0,0,1,True,468411341966927187
Ethan Nwaneri,22.0,eng ENG,RM,18-176,73,34,39,87.2,642,185,12,14,85.7,16,16,100.0,5,7,71.4,0,0.0,0.0,1,4,0,0,6,True,468411341966927187
Riccardo Calafiori,33.0,it ITA,LB,23-117,67,24,30,80.0,462,168,9,10,90.0,14,14,100.0,1,5,20.0,0,0.0,0.0,1,3,1,0,3,True,468411341966927187
Myles Lewis-Skelly,49.0,eng ENG,LB,18-352,23,17,17,100.0,340,8,5,5,100.0,10,10,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,0,True,468411341966927187
Gabriel Magalhães,6.0,br BRA,CB,27-268,90,63,68,92.6,1194,364,22,25,88.0,37,38,97.4,4,5,80.0,0,0.0,0.0,0,4,0,0,10,True,468411341966927187
Cristhian Mosquera,3.0,es ESP,CB,21-078,90,75,83,90.4,1364,501,27,29,93.1,42,47,89.4,5,5,100.0,0,0.0,0.0,0,3,0,0,2,True,468411341966927187
Jurriën Timber,12.0,nl NED,RB,24-088,90,43,47,91.5,740,261,20,21,95.2,22,24,91.7,1,2,50.0,0,0.0,0.0,0,9,0,0,9,True,468411341966927187
David Raya,1.0,es ESP,GK,29-363,90,30,33,90.9,668,460,6,6,100.0,20,20,100.0,4,7,57.1,0,0.0,0.0,0,2,0,0,0,True,468411341966927187
Chris Wood,11.0,nz NZL,FW,33-280,59,4,8,50.0,37,17,4,5,80.0,0,2,0.0,0,0,,0,0.0,0.0,1,1,1,0,2,False,468411341966927187
Dilane Bakwa,29.0,fr FRA,RW,23-018,31,7,10,70.0,106,57,4,4,100.0,3,4,75.0,0,2,0.0,0,0.0,0.0,0,1,0,0,0,False,468411341966927187
Callum Hudson-Odoi,7.0,eng ENG,LW,24-310,59,23,26,88.5,259,41,12,14,85.7,4,4,100.0,1,2,50.0,0,0.0,0.0,0,3,0,0,3,False,468411341966927187
Arnaud Kalimuendo,15.0,fr FRA,FW,23-236,31,8,11,72.7,100,14,5,6,83.3,3,4,75.0,0,0,,0,0.0,0.0,1,1,0,0,1,False,468411341966927187
Dan Ndoye,14.0,ch SUI,"RW,LW",24-323,90,18,24,75.0,299,38,11,11,100.0,5,9,55.6,2,3,66.7,0,0.0,0.0,1,0,2,1,3,False,468411341966927187
Morgan Gibbs-White,10.0,eng ENG,AM,25-229,72,22,26,84.6,280,24,15,16,93.8,4,5,80.0,1,2,50.0,0,0.0,0.0,0,2,0,0,0,False,468411341966927187
James Mcatee,24.0,eng ENG,AM,22-330,18,10,11,90.9,182,80,4,4,100.0,3,3,100.0,2,2,100.0,0,0.1,0.0,1,1,0,0,2,False,468411341966927187
Elliot Anderson,8.0,eng ENG,DM,22-311,90,62,74,83.8,1006,303,30,31,96.8,29,31,93.5,2,8,25.0,0,0.0,0.0,0,4,1,0,4,False,468411341966927187
Ibrahim Sangaré,6.0,ci CIV,DM,27-285,72,35,37,94.6,537,153,18,18,100.0,9,11,81.8,4,4,100.0,0,0.0,0.0,0,3,0,0,5,False,468411341966927187
Ryan Yates,22.0,eng ENG,DM,27-296,18,8,8,100.0,108,11,6,6,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,False,468411341966927187
Morato,4.0,br BRA,"CB,LB",24-075,90,43,52,82.7,827,468,15,16,93.8,24,26,92.3,4,9,44.4,0,0.0,0.0,0,2,0,0,1,False,468411341966927187
Murillo,5.0,br BRA,CB,23-071,36,9,14,64.3,179,70,4,4,100.0,4,5,80.0,1,5,20.0,0,0.0,0.0,0,0,0,0,0,False,468411341966927187
Nicolò Savona,37.0,it ITA,RB,22-178,54,20,26,76.9,305,58,13,14,92.9,6,9,66.7,1,2,50.0,0,0.0,0.0,1,1,0,0,0,False,468411341966927187
Nikola Milenković,31.0,rs SRB,CB,27-336,90,41,46,89.1,750,156,14,14,100.0,24,24,100.0,2,6,33.3,0,0.0,0.0,0,5,0,0,1,False,468411341966927187
Neco Williams,3.0,wls WAL,"LB,RB",24-153,90,38,45,84.4,559,215,23,25,92.0,12,13,92.3,1,3,33.3,0,0.0,0.0,0,3,0,0,3,False,468411341966927187
Matz Sels,26.0,be BEL,GK,33-199,90,25,30,83.3,583,356,13,13,100.0,7,7,100.0,5,10,50.0,0,0.0,0.0,0,3,0,0,0,False,468411341966927187
Beto,9.0,gw GNB,FW,27-225,74,5,9,55.6,70,9,3,5,60.0,2,3,66.7,0,0,,0,0.0,0.0,0,1,0,0,1,True,6561042366715865420
Thierno Barry,11.0,fr FRA,FW,22-327,16,2,2,100.0,14,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,6561042366715865420
Jack Grealish,18.0,eng ENG,LW,30-003,90,31,39,79.5,429,85,20,21,95.2,9,10,90.0,1,1,100.0,0,0.4,0.3,5,2,1,1,2,True,6561042366715865420
Iliman Ndiaye,10.0,sn SEN,RW,25-191,90,22,24,91.7,350,61,12,12,100.0,9,10,90.0,1,1,100.0,0,0.3,0.2,2,1,0,0,2,True,6561042366715865420
Kiernan Dewsbury-Hall,22.0,eng ENG,AM,27-007,90,30,40,75.0,538,178,12,13,92.3,14,16,87.5,2,8,25.0,0,0.2,0.3,2,8,2,0,8,True,6561042366715865420
Tim Iroegbunam,42.0,eng ENG,DM,22-075,65,18,21,85.7,322,72,8,9,88.9,9,9,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,4,True,6561042366715865420
Merlin Röhl,34.0,de GER,DM,23-070,25,7,10,70.0,98,39,4,6,66.7,3,4,75.0,0,0,,0,0.1,0.0,1,2,0,0,1,True,6561042366715865420
Idrissa Gana Gueye,27.0,sn SEN,DM,35-352,90,37,41,90.2,618,163,16,17,94.1,20,20,100.0,1,1,100.0,0,0.0,0.0,0,3,1,0,4,True,6561042366715865420
James Garner,37.0,eng ENG,LB,24-184,90,50,59,84.7,906,397,23,25,92.0,22,25,88.0,5,8,62.5,0,0.5,0.3,4,9,2,1,8,True,6561042366715865420
Michael Keane,5.0,eng ENG,CB,32-245,90,28,33,84.8,569,181,11,12,91.7,11,12,91.7,6,9,66.7,0,0.1,0.0,1,0,0,0,1,True,6561042366715865420
James Tarkowski,6.0,eng ENG,CB,32-298,90,29,37,78.4,628,386,7,7,100.0,16,19,84.2,5,8,62.5,0,0.1,0.0,1,4,1,0,6,True,6561042366715865420
Jake O'Brien,15.0,ie IRL,RB,24-121,90,27,40,67.5,524,263,15,18,83.3,7,12,58.3,5,6,83.3,0,0.0,0.1,1,2,1,1,2,True,6561042366715865420
Jordan Pickford,1.0,eng ENG,GK,31-190,90,22,36,61.1,700,510,1,1,100.0,14,14,100.0,7,21,33.3,0,0.0,0.0,0,2,0,0,0,True,6561042366715865420
Ollie Watkins,11.0,eng ENG,FW,29-257,82,9,10,90.0,95,3,5,6,83.3,2,2,100.0,0,0,,0,0.1,0.0,1,0,0,0,0,False,6561042366715865420
Donyell Malen,17.0,nl NED,FW,26-247,8,1,1,100.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,6561042366715865420
Emi Buendía,10.0,ar ARG,LW,28-262,70,24,32,75.0,287,107,18,20,90.0,4,5,80.0,0,2,0.0,0,0.1,0.1,1,3,1,0,4,False,6561042366715865420
Harvey Elliott,9.0,eng ENG,"AM,LW",22-162,20,8,10,80.0,118,18,5,5,100.0,3,4,75.0,0,1,0.0,0,0.0,0.0,0,1,0,0,2,False,6561042366715865420
John McGinn,7.0,sct SCO,"DM,RW",30-330,90,32,34,94.1,609,176,14,14,100.0,13,14,92.9,5,5,100.0,0,0.0,0.0,1,3,1,0,8,False,6561042366715865420
Morgan Rogers,27.0,eng ENG,"AM,LW",23-049,90,14,21,66.7,162,45,9,13,69.2,4,6,66.7,0,0,,0,0.0,0.0,0,1,0,0,2,False,6561042366715865420
Youri Tielemans,8.0,be BEL,DM,28-129,45,30,35,85.7,525,136,14,16,87.5,11,12,91.7,4,5,80.0,0,0.0,0.0,0,4,0,0,3,False,6561042366715865420
Evann Guessand,29.0,ci CIV,RW,24-074,45,3,5,60.0,43,5,2,2,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,1,0,1,False,6561042366715865420
Lamare Bogarde,26.0,nl NED,DM,21-251,82,29,30,96.7,442,64,16,16,100.0,10,11,90.9,2,2,100.0,0,0.0,0.0,0,1,0,0,0,False,6561042366715865420
Victor Lindelöf,3.0,se SWE,DM,31-058,8,4,4,100.0,72,24,1,1,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,2,False,6561042366715865420
Lucas Digne,12.0,fr FRA,LB,32-055,90,34,53,64.2,505,154,19,23,82.6,11,17,64.7,3,7,42.9,0,0.0,0.0,0,0,1,1,0,False,6561042366715865420
Tyrone Mings,5.0,eng ENG,CB,32-184,90,39,47,83.0,664,239,19,23,82.6,17,17,100.0,3,6,50.0,0,0.0,0.0,0,3,0,0,6,False,6561042366715865420
Ezri Konsa,4.0,eng ENG,CB,27-325,90,57,60,95.0,871,306,32,32,100.0,22,22,100.0,2,4,50.0,0,0.0,0.0,0,3,0,0,1,False,6561042366715865420
Matty Cash,2.0,pl POL,RB,28-037,90,26,34,76.5,436,149,12,13,92.3,12,12,100.0,2,7,28.6,0,0.2,0.1,1,4,0,0,1,False,6561042366715865420
Emiliano Martínez,23.0,ar ARG,GK,33-011,90,19,35,54.3,565,407,4,4,100.0,8,9,88.9,7,22,31.8,0,0.0,0.0,0,1,0,0,0,False,6561042366715865420
Rodrigo Muniz,9.0,br BRA,FW,24-132,83,3,9,33.3,82,35,1,3,33.3,1,3,33.3,1,2,50.0,0,0.0,0.0,0,1,1,0,1,True,-4196832515495815298
Raúl Jiménez,7.0,mx MEX,FW,34-131,7,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,-4196832515495815298
Alex Iwobi,17.0,ng NGA,LW,29-133,75,17,27,63.0,318,84,5,9,55.6,10,12,83.3,2,6,33.3,0,0.0,0.0,0,3,1,0,3,True,-4196832515495815298
Kevin,22.0,br BRA,LW,22-252,15,6,8,75.0,108,50,4,4,100.0,1,2,50.0,1,1,100.0,0,0.0,0.1,1,0,2,2,0,True,-4196832515495815298
Harry Wilson,8.0,wls WAL,RW,28-175,59,16,20,80.0,201,33,11,12,91.7,5,5,100.0,0,3,0.0,0,0.0,0.0,0,1,0,0,0,True,-4196832515495815298
Adama Traoré,11.0,es ESP,RW,29-231,31,4,9,44.4,55,6,1,2,50.0,3,6,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,-4196832515495815298
Joshua King,24.0,eng ENG,AM,18-253,59,7,10,70.0,87,2,4,6,66.7,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,True,-4196832515495815298
Emile Smith Rowe,32.0,eng ENG,AM,25-047,31,14,20,70.0,201,25,6,10,60.0,7,8,87.5,0,0,,0,0.0,0.0,0,0,0,0,2,True,-4196832515495815298
Sander Berge,16.0,no NOR,DM,27-211,83,49,52,94.2,889,159,19,20,95.0,25,26,96.2,4,4,100.0,0,0.2,0.2,1,1,1,1,3,True,-4196832515495815298
Tom Cairney,10.0,sct SCO,DM,34-236,7,3,3,100.0,39,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,True,-4196832515495815298
Saša Lukić,20.0,rs SRB,DM,29-031,90,28,34,82.4,449,36,14,15,93.3,13,15,86.7,1,3,33.3,0,0.0,0.0,0,2,0,0,2,True,-4196832515495815298
Ryan Sessegnon,30.0,eng ENG,LB,25-118,90,33,53,62.3,498,130,19,21,90.5,13,20,65.0,1,6,16.7,0,0.5,0.2,2,5,0,0,3,True,-4196832515495815298
Calvin Bassey,3.0,ng NGA,CB,25-256,90,83,88,94.3,1723,468,16,18,88.9,60,61,98.4,7,9,77.8,0,0.0,0.0,0,15,1,0,11,True,-4196832515495815298
Joachim Andersen,5.0,dk DEN,CB,29-105,90,89,102,87.3,1927,709,21,22,95.5,51,56,91.1,15,22,68.2,0,0.0,0.0,0,17,1,0,11,True,-4196832515495815298
Kenny Tete,2.0,nl NED,RB,29-339,90,29,40,72.5,460,208,16,18,88.9,11,16,68.8,1,5,20.0,0,0.0,0.0,0,2,1,0,4,True,-4196832515495815298
Bernd Leno,1.0,de GER,GK,33-193,90,27,29,93.1,470,392,9,9,100.0,17,17,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,True,-4196832515495815298
Dominic Calvert-Lewin,9.0,eng ENG,FW,28-181,68,5,8,62.5,51,12,3,6,50.0,1,1,100.0,0,0,,0,0.0,0.1,1,0,1,0,1,False,-4196832515495815298
Lukas Nmecha,14.0,de GER,FW,26-273,22,1,3,33.3,8,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,-4196832515495815298
Noah Okafor,19.0,ch SUI,LW,25-112,68,18,23,78.3,358,86,5,5,100.0,8,11,72.7,4,4,100.0,0,0.0,0.0,1,3,1,0,4,False,-4196832515495815298
Jack Harrison,20.0,eng ENG,LW,28-297,22,4,5,80.0,97,24,1,1,100.0,1,1,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,False,-4196832515495815298
Brenden Aaronson,11.0,us USA,RW,24-326,76,14,19,73.7,178,24,10,11,90.9,4,6,66.7,0,0,,0,0.3,0.3,1,2,0,0,0,False,-4196832515495815298
Daniel James,7.0,wls WAL,RW,27-307,12,0,2,0.0,0,0,0,1,0.0,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,False,-4196832515495815298
Wilfried Gnonto,29.0,it ITA,RW,21-312,2,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,-4196832515495815298
Anton Stach,18.0,de GER,LM,26-302,90,27,39,69.2,434,109,14,18,77.8,9,13,69.2,3,4,75.0,0,0.1,0.1,1,2,1,0,4,False,-4196832515495815298
Ethan Ampadu,4.0,wls WAL,CM,24-364,90,35,48,72.9,609,123,16,22,72.7,15,17,88.2,4,9,44.4,0,0.0,0.0,0,5,0,0,2,False,-4196832515495815298
Sean Longstaff,8.0,eng ENG,RM,27-318,90,33,40,82.5,593,193,10,13,76.9,19,20,95.0,2,4,50.0,0,0.0,0.0,0,2,0,0,2,False,-4196832515495815298
Gabriel Gudmundsson,3.0,se SWE,LB,26-137,90,40,51,78.4,598,314,22,23,95.7,15,17,88.2,1,8,12.5,0,0.0,0.1,0,2,0,0,4,False,-4196832515495815298
Pascal Struijk,5.0,nl NED,CB,26-033,90,52,55,94.5,1060,380,18,18,100.0,27,27,100.0,7,10,70.0,0,0.0,0.0,0,3,1,0,3,False,-4196832515495815298
Joe Rodon,6.0,wls WAL,CB,27-326,90,50,54,92.6,1066,346,11,11,100.0,33,35,94.3,6,8,75.0,0,0.0,0.0,0,3,0,0,4,False,-4196832515495815298
Jayden Bogle,2.0,eng ENG,RB,25-048,90,26,37,70.3,393,104,13,17,76.5,11,12,91.7,1,5,20.0,0,0.0,0.0,0,2,0,0,2,False,-4196832515495815298
Karl Darlow,26.0,wls WAL,GK,34-340,90,27,41,65.9,811,558,6,6,100.0,12,12,100.0,9,23,39.1,0,0.0,0.0,0,0,0,0,0,False,-4196832515495815298
Nick Woltemade,27.0,de GER,FW,23-211,64,8,10,80.0,93,0,7,7,100.0,1,2,50.0,0,0,,0,0.0,0.0,1,0,0,0,0,True,-3951431971241193970
William Osula,18.0,dk DEN,FW,22-040,26,0,2,0.0,0,0,0,2,0.0,0,0,,0,0,,0,0.1,0.0,1,0,0,0,0,True,-3951431971241193970
Harvey Barnes,11.0,eng ENG,LW,27-278,79,18,25,72.0,258,75,12,13,92.3,6,8,75.0,0,1,0.0,0,0.0,0.1,0,1,3,0,5,True,-3951431971241193970
Anthony Elanga,20.0,se SWE,LW,23-139,11,5,7,71.4,56,9,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,True,-3951431971241193970
Jacob Murphy,23.0,eng ENG,RW,30-201,89,20,37,54.1,357,120,10,18,55.6,8,12,66.7,2,5,40.0,1,0.2,0.3,1,2,4,1,3,True,-3951431971241193970
Sven Botman,4.0,nl NED,RW,25-244,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,True,-3951431971241193970
Joelinton,7.0,br BRA,LM,29-030,64,24,31,77.4,338,112,15,19,78.9,8,10,80.0,1,1,100.0,0,0.7,0.3,1,5,0,0,5,True,-3951431971241193970
Joe Willock,28.0,eng ENG,LM,26-024,26,3,5,60.0,85,26,0,0,,2,2,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1,True,-3951431971241193970
Sandro Tonali,8.0,it ITA,CM,25-128,90,40,52,76.9,706,205,16,19,84.2,20,24,83.3,3,7,42.9,0,0.0,0.0,0,5,0,0,7,True,-3951431971241193970
Bruno Guimarães,39.0,br BRA,RM,27-301,90,40,51,78.4,629,198,23,25,92.0,14,18,77.8,2,5,40.0,0,0.1,0.1,2,2,1,0,4,True,-3951431971241193970
Valentino Livramento,21.0,eng ENG,LB,22-305,90,55,59,93.2,834,293,33,35,94.3,20,21,95.2,2,2,100.0,0,0.0,0.0,0,9,0,0,8,True,-3951431971241193970
Dan Burn,33.0,eng ENG,CB,33-127,90,40,50,80.0,790,313,8,10,80.0,30,33,90.9,2,5,40.0,0,0.0,0.0,0,1,0,0,2,True,-3951431971241193970
Fabian Schär,5.0,ch SUI,CB,33-267,90,53,61,86.9,1233,597,9,9,100.0,32,34,94.1,12,18,66.7,0,0.1,0.0,1,4,0,0,4,True,-3951431971241193970
Kieran Trippier,2.0,eng ENG,RB,34-359,90,73,93,78.5,1540,540,21,25,84.0,37,45,82.2,14,22,63.6,0,0.3,0.2,5,10,1,1,12,True,-3951431971241193970
Nick Pope,1.0,eng ENG,GK,33-147,90,21,26,80.8,526,331,2,2,100.0,13,13,100.0,6,11,54.5,0,0.0,0.0,0,0,0,0,0,True,-3951431971241193970
Hwang Hee-chan,11.0,kr KOR,FW,29-230,76,11,20,55.0,208,39,6,8,75.0,4,9,44.4,1,2,50.0,0,0.0,0.0,0,0,0,0,0,False,-3951431971241193970
Fer López,28.0,es ESP,FW,21-112,14,7,8,87.5,118,27,3,3,100.0,4,4,100.0,0,1,0.0,0,0.0,0.1,1,1,1,0,2,False,-3951431971241193970
Tolu Arokodare,14.0,ng NGA,FW,24-294,65,5,7,71.4,59,7,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,False,-3951431971241193970
Jhon Arias,10.0,co COL,FW,27-357,25,5,6,83.3,96,13,3,4,75.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,False,-3951431971241193970
Ladislav Krejčí,37.0,cz CZE,"CM,CB",26-146,90,27,33,81.8,504,121,12,13,92.3,12,13,92.3,3,5,60.0,0,0.1,0.2,1,2,0,0,2,False,-3951431971241193970
João Gomes,8.0,br BRA,CM,24-213,90,31,40,77.5,514,148,15,17,88.2,11,15,73.3,3,5,60.0,0,0.1,0.1,1,3,3,1,6,False,-3951431971241193970
André,7.0,br BRA,CM,24-059,65,18,18,100.0,297,79,9,9,100.0,8,8,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,False,-3951431971241193970
Marshall Munetsi,5.0,zw ZIM,CM,29-083,25,3,7,42.9,36,0,2,5,40.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,False,-3951431971241193970
Rodrigo Gomes,21.0,pt POR,WB,22-068,76,13,17,76.5,219,14,7,9,77.8,5,7,71.4,1,1,100.0,0,0.0,0.0,0,0,0,0,1,False,-3951431971241193970
Jackson Tchatchoua,38.0,cm CMR,WB,23-364,14,6,8,75.0,94,19,1,2,50.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,False,-3951431971241193970
Hugo Bueno,3.0,es ESP,WB,22-360,90,26,39,66.7,446,65,11,16,68.8,13,15,86.7,2,7,28.6,0,0.1,0.1,2,0,1,1,0,False,-3951431971241193970
Toti Gomes,24.0,pt POR,CB,26-240,90,50,59,84.7,912,348,21,23,91.3,25,28,89.3,4,8,50.0,0,0.0,0.0,0,8,0,0,3,False,-3951431971241193970
Yerson Mosquera,15.0,co COL,CB,24-134,65,16,17,94.1,332,74,4,4,100.0,11,12,91.7,1,1,100.0,0,0.0,0.0,0,1,0,0,0,False,-3951431971241193970
Jean-Ricner Bellegarde,27.0,ht HAI,CM,27-078,25,12,14,85.7,265,29,1,2,50.0,9,9,100.0,2,3,66.7,0,0.0,0.0,0,0,1,0,3,False,-3951431971241193970
Emmanuel Agbadou,12.0,ci CIV,CB,28-088,90,33,46,71.7,709,388,10,12,83.3,20,24,83.3,3,10,30.0,0,0.0,0.1,0,6,1,0,3,False,-3951431971241193970
Sam Johnstone,31.0,eng ENG,GK,32-172,90,23,45,51.1,704,534,6,6,100.0,9,9,100.0,8,30,26.7,0,0.0,0.0,0,1,0,0,0,False,-3951431971241193970
Jean-Philippe Mateta,14.0,fr FRA,FW,28-077,90,10,11,90.9,134,20,7,7,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,True,-9061353557171007657
Daichi Kamada,18.0,jp JPN,"AM,CM",29-039,90,23,29,79.3,371,102,11,14,78.6,6,6,100.0,3,3,100.0,0,0.6,0.2,1,1,1,0,5,True,-9061353557171007657
Yeremi Pino,10.0,es ESP,AM,22-328,83,24,37,64.9,354,74,13,15,86.7,9,15,60.0,2,6,33.3,0,0.0,0.0,0,1,1,0,7,True,-9061353557171007657
Christantus Uche,12.0,ng NGA,AM,22-117,7,5,9,55.6,70,11,3,4,75.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0,1,0,0,0,True,-9061353557171007657
Jefferson Lerma,8.0,co COL,CM,30-323,68,24,31,77.4,437,137,10,10,100.0,12,14,85.7,2,6,33.3,0,0.0,0.0,0,3,0,0,7,True,-9061353557171007657
Justin Devenny,55.0,nir NIR,AM,21-337,22,6,10,60.0,96,12,3,4,75.0,3,4,75.0,0,1,0.0,0,0.1,0.1,2,0,0,0,0,True,-9061353557171007657
Will Hughes,19.0,eng ENG,CM,30-149,90,30,43,69.8,526,235,16,18,88.9,11,17,64.7,3,8,37.5,0,0.2,0.2,2,4,1,0,8,True,-9061353557171007657
Tyrick Mitchell,3.0,eng ENG,WB,26-012,90,42,52,80.8,729,167,14,16,87.5,25,26,96.2,2,6,33.3,0,0.1,0.1,1,1,2,2,3,True,-9061353557171007657
Daniel Muñoz,2.0,co COL,WB,29-110,90,36,44,81.8,565,124,23,24,95.8,8,13,61.5,4,4,100.0,0,0.0,0.2,0,0,2,1,2,True,-9061353557171007657
Marc Guéhi,6.0,eng ENG,CB,25-062,90,75,85,88.2,1390,400,26,26,100.0,44,48,91.7,5,10,50.0,0,0.0,0.0,1,3,0,0,4,True,-9061353557171007657
Maxence Lacroix,5.0,fr FRA,CB,25-160,90,75,81,92.6,1487,417,20,21,95.2,48,49,98.0,7,11,63.6,0,0.0,0.0,0,2,0,0,3,True,-9061353557171007657
Chris Richards,26.0,us USA,CB,25-169,90,57,65,87.7,1202,324,16,17,94.1,35,40,87.5,6,8,75.0,0,0.0,0.0,1,3,0,0,1,True,-9061353557171007657
Dean Henderson,1.0,eng ENG,GK,28-185,90,32,42,76.2,946,549,6,6,100.0,15,15,100.0,11,21,52.4,0,0.0,0.0,0,1,0,0,0,True,-9061353557171007657
Wilson Isidor,18.0,fr FRA,"FW,LW",25-017,89,5,6,83.3,78,51,3,4,75.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,False,-9061353557171007657
Chris Rigg,11.0,eng ENG,LW,18-087,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,-9061353557171007657
Simon Adingra,24.0,ci CIV,LW,23-255,68,10,15,66.7,168,16,4,5,80.0,4,4,100.0,1,3,33.3,0,0.2,0.1,1,0,1,1,0,False,-9061353557171007657
Brian Brobbey,9.0,nl NED,FW,23-224,22,1,2,50.0,6,2,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,-9061353557171007657
Chemsdine Talbi,7.0,ma MAR,RW,20-127,90,16,23,69.6,261,6,9,14,64.3,4,5,80.0,2,3,66.7,0,0.0,0.2,1,0,0,0,0,False,-9061353557171007657
Noah Sadiki,27.0,cd COD,LM,20-270,83,26,30,86.7,420,93,13,15,86.7,11,12,91.7,1,1,100.0,0,0.0,0.0,0,2,1,1,1,False,-9061353557171007657
Lutsharel Geertruida,6.0,nl NED,LM,25-057,7,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,False,-9061353557171007657
Granit Xhaka,34.0,ch SUI,CM,32-351,90,42,53,79.2,892,245,11,12,91.7,25,28,89.3,6,10,60.0,0,0.1,0.1,1,7,1,0,7,False,-9061353557171007657
Habib Diarra,19.0,sn SEN,RM,21-253,90,19,26,73.1,285,40,11,14,78.6,7,10,70.0,1,1,100.0,0,0.0,0.0,0,2,1,0,3,False,-9061353557171007657
Reinildo Mandava,17.0,mz MOZ,LB,31-235,90,38,47,80.9,682,202,15,16,93.8,22,25,88.0,1,5,20.0,0,0.0,0.0,0,5,0,0,6,False,-9061353557171007657
Omar Alderete,15.0,py PAR,CB,28-261,90,60,70,85.7,1367,589,12,15,80.0,37,40,92.5,11,15,73.3,0,0.0,0.0,0,4,0,0,5,False,-9061353557171007657
Nordi Mukiele,20.0,fr FRA,CB,27-316,90,46,58,79.3,1029,244,8,8,100.0,31,36,86.1,7,12,58.3,0,0.1,0.0,1,0,0,0,2,False,-9061353557171007657
Trai Hume,32.0,nir NIR,RB,23-179,90,37,56,66.1,644,271,17,20,85.0,18,24,75.0,2,9,22.2,0,0.0,0.0,2,4,3,1,5,False,-9061353557171007657
