player_code,fbref_name,position,fpl_cost,fpl_form,season_ppg,total_points
243016,Alexis Mac Allister,MID,6.2,1.8,2.4,33
424876,Dominik Szoboszlai,MID,6.6,3.2,3.9,59
206915,Curtis Jones,MID,5.4,1.2,1.5,19
441266,Ryan Gravenberch,MID,5.6,3.2,5.1,66
158983,Wataru Endo,MID,4.9,0.2,1.4,7
219168,Alexander Isak,FWD,10.4,2.4,2.8,22
510663,Hugo Ekitike,FWD,8.4,3.4,3.9,55
611922,Rio Ngumoha,MID,4.3,0.2,2.0,10
432720,James Trafford,GK,4.6,0.0,3.7,11
448514,Rayan Aït-Nouri,DEF,5.7,0.0,2.8,11
477424,Joško Gvardiol,DEF,5.9,5.0,4.8,53
126184,Nathan Aké,DEF,5.3,0.4,1.7,12
578153,Abdukodir Khusanov,DEF,5.4,0.0,2.8,11
465351,Matheus Nunes,DEF,5.3,5.0,4.4,57
171314,Rúben Dias,DEF,5.6,5.6,4.5,67
97299,John Stones,DEF,5.4,0.2,1.7,12
477064,Rico Lewis,DEF,4.7,0.2,2.7,16
472769,Nico O’Reilly,DEF,5.2,4.4,4.4,62
438234,Omar Marmoush,MID,8.3,0.8,1.7,15
209244,Phil Foden,MID,8.6,9.8,5.9,77
510281,Sávio,MID,6.9,0.8,1.7,19
165809,Bernardo Silva,MID,6.2,2.4,2.1,32
466052,Rayan Cherki,MID,6.4,4.8,4.3,43
248875,Jeremy Doku,MID,6.6,5.2,3.9,59
220566,Rodri,MID,6.3,0.0,2.0,12
91651,Mateo Kovačić,MID,5.9,0.0,1.0,1
465694,Nicolás González,MID,5.9,3.8,2.8,39
477555,Oscar Bobb,MID,5.2,0.0,2.0,18
433036,Tijjani Reijnders,MID,5.3,2.4,3.3,46
223094,Erling Haaland,FWD,15.0,4.8,8.1,122
204936,Gianluigi Donnarumma,GK,5.7,3.6,3.6,43
446008,Bryan Mbeumo,MID,8.4,3.0,4.8,72
451302,Altay Bayındır,GK,4.8,0.0,1.8,11
209365,Matthijs de Ligt,DEF,5.0,1.0,3.3,43
221820,Lisandro Martínez,DEF,4.8,0.8,1.0,3
230001,Noussair Mazraoui,DEF,4.9,1.8,1.9,17
216051,Diogo Dalot,DEF,4.4,5.8,3.5,45
596777,Patrick Dorgu,DEF,4.1,1.0,1.4,20
95658,Harry Maguire,DEF,4.3,0.0,4.1,33
106760,Luke Shaw,DEF,4.5,1.5,2.3,34
550864,Leny Yoro,DEF,4.3,1.2,1.9,28
606745,Ayden Heaven,DEF,3.8,0.5,1.5,6
141746,Bruno Fernandes,MID,9.0,8.8,5.7,85
430871,Matheus Cunha,MID,7.9,2.0,2.8,34
493250,Amad Diallo,MID,6.3,3.0,3.5,49
184341,Mason Mount,MID,5.9,4.2,3.2,39
61256,Casimiro,MID,5.5,3.5,4.4,61
516895,Kobbie Mainoo,MID,4.6,0.8,1.0,10
232112,Manuel Ugarte,MID,4.7,0.2,1.4,14
458249,Joshua Zirkzee,FWD,5.8,3.2,2.1,17
485711,Benjamin Šeško,FWD,7.2,0.0,2.8,31
